Node, x, y
71, 14039.783004, 6705143.756977
72, 19545.782773, 6704566.572908
73, 15305.092018, 6704925.288747
74, 12592.954795, 6704528.475018
75, 18416.494968, 6704145.293994
76, 15647.374662, 6702680.257192
77, 11854.342435, 6702899.083527
78, 18043.647034, 6702128.627207
79, 9633.431904, 6702971.567256
80, 20446.821449, 6701747.458640
81, 14211.359903, 6701904.701008
82, 12546.010842, 6701071.825435
83, 10453.257543, 6700346.712795
84, 17074.286062, 6699686.809244
85, 13768.348410, 6699457.752388
86, 9750.821308, 6699085.319246
87, 10498.952640, 6697774.376812
88, 12731.561795, 6696822.865537
89, 15349.374683, 6696361.763920
90, -31013.258467, 6727037.104000
91, -28664.377344, 6726128.987353
92, -31347.930320, 6725418.180174
93, -33837.150614, 6724591.446101
94, -29429.475817, 6723838.311029
95, -31748.666580, 6723698.294663
96, -33389.859423, 6722513.900760
97, -35161.940616, 6722912.016794
98, -29898.077012, 6722070.816209
99, -27231.859754, 6721834.689384
100, -25779.405064, 6721719.545178
101, -32171.106584, 6721484.605346
102, -34804.313958, 6720817.982280
103, -28005.358063, 6720392.317031
104, -24716.307853, 6720059.166535
105, -36581.924349, 6720379.093207
106, -30771.542288, 6720073.725509
107, -25934.005993, 6719757.821906
108, -34147.747328, 6719425.761841
109, -31700.953861, 6719265.434624
110, -28979.304911, 6719237.332859
111, -25664.592315, 6718474.345499
112, -23645.518648, 6718636.739727
113, -26803.782116, 6718210.557978
114, -27931.230532, 6718309.845304
115, -32112.891977, 6718053.242412
116, -29974.249483, 6717035.649986
117, -22246.794009, 6717405.968265
118, -33194.769340, 6717503.561351
119, -24423.757041, 6717420.412450
120, -27528.835642, 6716772.052392
121, -23159.435353, 6716531.238849
122, -25473.627448, 6716448.898531
123, -21952.978912, 6716017.135392
124, 4792.643626, 6698310.643307
125, 8407.933265, 6696614.052303
126, -5063.332631, 6695433.988968
127, -7754.783714, 6695683.013761
128, -3170.727003, 6695189.134823
129, 6470.641800, 6694173.086835
130, 2092.581671, 6694525.419011
131, -6780.449205, 6694404.156121
132, 9734.080350, 6694036.191091
133, 167.720133, 6693691.784685
134, -2447.915345, 6693323.734320
135, -5030.590703, 6693977.835230
136, 12351.920813, 6693250.709663
