Origin,Destination,Leave,Back,width time,Length Time,O 0-5,D 0-5,O 5-15,D 5-15,O 16-24,D 16-24,O 25-34,D 25-34,O 35-49,D 35-49,O 50-64,D 50-64,O 65-74,D 65-74,O 75+,D 75+,Width time,Length time
,,6,18,,,0,0,0,,3.0,8.0,19.0,7.0,22.0,12.0,17.0,11.0,2.0,2.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,1.0,0.0,15.0,0.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,0.0,0.0,13.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,6.0,0.0,40.0,0.0,22.0,0.0,15.0,0.0,4.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,5.0,0.0,13.0,0.0,9.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,2.0,0.0,9.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,1.0,0.0,11.0,0.0,12.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,0.0,0.0,15.0,0.0,18.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,0.0,0.0,9.0,0.0,6.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,4.0,0.0,8.0,0.0,13.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,7.0,0.0,8.0,0.0,13.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,1.0,0.0,5.0,0.0,7.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,5.0,0.0,25.0,0.0,43.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,10,60
,,6,18,,,0,0,0,,8.0,0.0,34.0,0.0,27.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,0.0,0.0,11.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,4.0,0.0,13.0,0.0,10.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,14.0,0.0,72.0,0.0,54.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,9.0,0.0,67.0,0.0,76.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,0.0,10.0,0.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,4.0,0.0,39.0,0.0,63.0,0.0,31.0,0.0,3.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,1.0,0.0,12.0,0.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,5.0,23.0,8.0,14.0,7.0,45.0,8.0,34.0,0.0,5.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,5.0,0.0,25.0,0.0,23.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,0.0,61.0,0.0,66.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,10,60
,,6,18,,,0,0,0,,36.0,0.0,161.0,0.0,306.0,0.0,112.0,0.0,5.0,0.0,1.0,0.0,10,60
,,6,18,,,0,0,0,,4.0,0.0,2.0,0.0,13.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,2.0,0.0,3.0,0.0,9.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,13.0,7.0,5.0,13.0,20.0,41.0,12.0,23.0,1.0,4.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,6.0,0.0,3.0,0.0,3.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,1.0,2.0,4.0,1.0,15.0,12.0,22.0,5.0,1.0,0.0,0.0,1.0,10,60
,,6,18,,,0,0,0,,3.0,2.0,7.0,7.0,18.0,13.0,15.0,12.0,3.0,1.0,0.0,1.0,10,60
,,6,18,,,0,0,0,,4.0,3.0,0.0,5.0,6.0,13.0,16.0,5.0,2.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,2.0,2.0,7.0,5.0,7.0,12.0,12.0,8.0,3.0,2.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,4.0,5.0,3.0,4.0,17.0,8.0,9.0,7.0,0.0,1.0,1.0,0.0,10,60
,,6,18,,,0,0,0,,2.0,0.0,3.0,0.0,7.0,0.0,5.0,0.0,1.0,0.0,3.0,0.0,10,60
,,6,18,,,0,0,0,,2.0,0.0,5.0,0.0,16.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,2.0,0.0,10.0,0.0,13.0,0.0,7.0,0.0,1.0,0.0,2.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,0.0,5.0,0.0,10.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,11.0,0.0,7.0,0.0,29.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,1.0,0.0,2.0,0.0,11.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,0.0,6.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,1.0,0.0,3.0,0.0,4.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,4.0,0.0,12.0,0.0,19.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,7.0,0.0,11.0,0.0,25.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,0.0,19.0,0.0,19.0,0.0,14.0,0.0,3.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,1.0,0.0,6.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,10,60
,,6,18,,,0,0,0,,2.0,0.0,8.0,0.0,22.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,12.0,0.0,25.0,0.0,33.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,13.0,0.0,42.0,0.0,73.0,0.0,42.0,0.0,6.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,5.0,0.0,17.0,0.0,21.0,0.0,23.0,0.0,2.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,1.0,0.0,14.0,0.0,14.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,12.0,0.0,39.0,0.0,111.0,0.0,19.0,0.0,2.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,13.0,0.0,71.0,0.0,148.0,0.0,52.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,2.0,0.0,1.0,0.0,3.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,6.0,5.0,7.0,4.0,9.0,8.0,10.0,12.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,7.0,3.0,0.0,8.0,18.0,13.0,17.0,11.0,4.0,1.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,16.0,4.0,8.0,17.0,37.0,6.0,25.0,2.0,8.0,0.0,1.0,10,60
,,6,18,,,0,0,0,,0.0,13.0,1.0,5.0,16.0,23.0,13.0,14.0,3.0,4.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,8.0,8.0,3.0,7.0,13.0,20.0,16.0,7.0,0.0,2.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,4.0,3.0,3.0,3.0,9.0,15.0,9.0,13.0,0.0,1.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,1.0,1.0,4.0,4.0,12.0,12.0,20.0,8.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,4.0,0.0,7.0,0.0,15.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,1.0,0.0,7.0,0.0,27.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,11.0,0.0,15.0,0.0,31.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,7.0,0.0,27.0,0.0,35.0,0.0,19.0,0.0,2.0,0.0,1.0,0.0,10,60
,,6,18,,,0,0,0,,5.0,0.0,9.0,0.0,16.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,1.0,0.0,8.0,0.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,9.0,0.0,14.0,0.0,56.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,19.0,0.0,67.0,0.0,158.0,0.0,54.0,0.0,3.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,2.0,10.0,4.0,3.0,6.0,6.0,12.0,5.0,0.0,1.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,4.0,7.0,11.0,6.0,15.0,10.0,10.0,5.0,2.0,1.0,0.0,3.0,10,60
,,6,18,,,0,0,0,,9.0,9.0,10.0,15.0,14.0,25.0,16.0,29.0,3.0,2.0,1.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,12.0,4.0,12.0,11.0,18.0,3.0,12.0,0.0,1.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,5.0,6.0,4.0,4.0,10.0,9.0,9.0,13.0,1.0,2.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,4.0,10.0,3.0,5.0,9.0,16.0,7.0,11.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,8.0,10.0,3.0,8.0,18.0,8.0,8.0,16.0,2.0,0.0,0.0,2.0,10,60
,,6,18,,,0,0,0,,2.0,10.0,5.0,9.0,10.0,15.0,5.0,15.0,1.0,3.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,3.0,14.0,6.0,22.0,16.0,17.0,8.0,2.0,3.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,3.0,0.0,10.0,0.0,7.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,2.0,0.0,9.0,0.0,22.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,1.0,0.0,9.0,0.0,13.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,1.0,0.0,11.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10,60
,,6,18,,,0,0,0,,1.0,0.0,12.0,0.0,9.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,10,60
