Node,x,y
477,505551.188247,190307.150000
478,510499.194831,188997.436500
479,508111.839115,188428.131000
480,511131.952621,188040.055000
481,509442.212752,188107.282500
482,511223.435146,186850.522000
483,509387.780606,185863.817500
484,510765.137469,186000.360500
485,507414.828994,186063.971000
486,506389.430818,185546.000000
487,508763.232274,184123.046500
488,506005.677876,183617.807000
489,504942.534658,183332.315000
490,507286.025200,182559.090500
491,509497.372719,182795.721500
492,507920.301479,182563.136000
493,511198.816523,182216.530000
494,510135.780893,181756.391500
495,505648.320691,181385.667500
496,512031.106037,181596.206500
497,508028.066957,180981.143500
498,506862.195804,180900.814000
499,510450.424861,180952.853500
500,508871.172116,180369.058000
501,507697.243136,179249.164500
502,506115.570637,179217.804500
503,509532.961494,179047.311500
504,506256.103609,176814.499500
505,509101.669954,177178.138000
506,521562.778089,178535.530500
507,518530.570143,178217.263500
508,512998.909180,177869.231000
509,511454.366658,178058.850500
510,517222.103876,177469.529000
511,520860.471506,177314.940000
512,520001.389683,177320.377000
513,515956.996704,177721.485500
514,512098.086736,177065.670500
515,513020.190057,176757.127500
516,514378.460994,176830.733000
517,510657.170762,176361.418000
518,516081.329285,176280.084000
519,514809.071251,175929.986000
520,512066.797577,175739.098500
521,513030.179859,175676.113500
522,513542.562286,175426.010500
523,514766.123213,175145.584000
524,516030.873718,175285.975500
525,512320.564707,174571.592500
526,509934.525542,174526.722500
527,508403.202067,173268.313000
528,511161.760342,173535.648500
529,510138.972907,172930.833000
530,511831.277099,172293.617000
531,509270.854026,172177.773000
532,511281.058109,171268.311500
533,530254.971967,187326.036000
534,529653.730428,187233.377500
535,530810.936272,186963.792000
536,529227.843269,186625.315500
537,531170.694731,186230.691500
538,531738.253419,186275.443000
539,530695.862458,186040.234000
540,529726.616818,186043.332500
541,532128.571371,185596.312500
542,529808.938324,185532.247000
543,530862.599947,185399.671000
544,533038.757236,185229.133500
545,531493.842760,185126.191000
546,532758.127758,184581.916500
547,530552.881117,184527.101500
548,531928.976675,184293.543500
549,531234.241152,184092.100500
550,532287.747780,183822.252000
551,530646.407868,183652.081000
552,531682.614652,183422.881500
553,530902.644794,183025.062500
554,531304.286095,182403.241500
555,532570.245209,182312.617000
556,524285.475145,182147.281000
557,523749.970412,181862.590500
558,523746.077304,181315.418000
559,524625.250062,181374.751000
560,523932.709187,180748.125000
561,525055.349021,180707.543500
562,524479.256721,180592.006500
563,525449.482635,179967.266000
564,524517.891370,179588.445000
565,526037.845295,179303.049000
566,525301.041084,179258.013500
567,527484.756437,179139.066000
568,525739.459306,178842.590500
569,527251.492779,178716.334000
570,525136.427174,178710.957500
571,526395.851413,178730.386000
572,525557.083886,178216.628500
573,527844.282177,178190.434500
574,526834.769911,178030.062500
575,526237.731616,177891.205500
576,526294.441408,177322.083000
577,518340.946455,170997.360000
578,520696.242546,170796.309000
579,519494.749812,170065.960000
580,518234.038006,170142.319000
581,518906.448623,168989.154000
582,519982.965378,168867.001000
583,521575.943371,168587.062000
584,520672.357301,168439.730500
585,517951.402226,168593.243000
586,519301.355856,167814.472000
587,517652.746137,167272.050000
588,520930.026783,167217.933000
589,518007.719749,166753.463500
590,519824.625500,167011.104500
591,522123.599560,166911.916500
592,518422.354457,166061.122000
593,519811.057292,165415.642000
594,518025.172747,164896.708500
595,518753.040906,163778.315000
596,517438.189202,162333.367000
597,531202.803918,178676.781000
598,530894.189166,178159.054500
599,530422.924502,177436.500000
600,531134.129535,177334.689000
601,530304.632722,176954.798000
602,531205.506261,176781.995500
603,529728.850609,176452.922000
604,531739.298705,176175.454500
605,530498.900806,176065.663000
606,531220.420404,175794.832000
607,529769.201453,175837.649500
608,528981.596051,175726.747500
609,532334.784026,175550.031000
610,530383.230495,175230.070000
611,530730.122745,175050.349000
612,529638.888863,175003.736500
613,531612.310026,174750.788000
614,529320.417438,174575.152000
615,530820.977652,174210.054500
616,530405.254485,173990.980000
617,529943.977957,173798.330500
618,529397.497333,173749.007000
619,531179.554996,173616.363000
620,531999.929649,173260.026500
621,530440.515608,172698.325000
622,531236.957888,172461.244000
623,532365.129967,172195.818000
624,529927.289719,172213.810000
625,531296.447890,171600.055500
626,532626.872202,171521.406000
627,530048.975656,171193.152500
628,533092.368200,171460.844500
629,530281.392872,170452.916500
630,529514.778347,170223.116000
631,535933.982221,178459.488500
632,536583.933362,177920.359500
633,535645.852247,177602.691000
634,536731.920226,176427.149000
635,535836.666917,176583.397500
636,538696.574363,176096.441500
637,537124.791534,176074.375000
638,539430.377782,175946.586000
639,536120.075592,175609.635000
640,537558.529461,175568.734000
641,538424.425853,175366.638500
642,539254.545004,174802.388000
643,537145.449740,174902.242500
644,536528.958097,174511.684500
645,539602.270163,174282.800000
646,538876.762858,174165.067500
647,538263.351592,173787.227000
648,536225.328262,173892.183500
649,537276.279050,173706.893000
650,535103.027644,173367.038000
651,538969.254649,173216.982000
652,540462.915191,173163.001000
653,536214.881857,172896.558500
654,538097.679881,172881.187500
655,539781.906079,172861.887500
656,536035.823779,172469.492500
657,534996.044161,172541.323500
658,537175.997783,172613.165500
659,538451.529883,172166.220500
660,541193.824726,172050.259500
661,534723.509882,171840.058500
662,537901.673641,171116.464500
663,535948.387433,171525.124500
664,525103.662778,172003.125500
665,522780.863931,171263.454500
666,525439.055224,171128.689000
667,524345.132047,170729.310500
668,527002.256280,170429.504000
669,526138.159785,170533.888000
670,528591.477054,170169.351500
671,527503.902812,170135.086000
672,525485.283990,169829.890000
673,522595.784403,169724.574500
674,524122.805336,169614.265000
675,526684.621488,169335.203500
676,528043.675281,169495.048000
677,528554.906186,168922.558000
678,525427.324266,169090.486500
679,523269.491883,168932.157500
680,529329.332837,168917.920000
681,527241.815363,168940.432500
682,530132.783733,168196.409000
683,522919.598157,167855.045000
684,524553.228819,167961.251000
685,527641.544295,167902.767500
686,525834.852424,168058.641000
687,525042.861676,167332.975500
688,523814.809897,166793.805000
689,540385.137171,185694.790000
690,542854.520813,185756.905500
691,541977.349706,185953.026500
692,542317.642409,185439.715000
693,543352.606233,185430.834500
694,539637.637796,185335.439000
695,541054.319518,185300.467500
696,540623.191986,184782.130500
697,539757.735586,184651.500500
698,542519.677223,184700.081000
699,541599.152503,184549.544500
700,539077.956500,184490.552500
701,538116.242472,184133.202500
702,541311.018610,184289.832000
703,543017.706526,184358.492000
704,539953.063105,184168.510500
705,540763.965161,184067.923000
706,542403.012325,183746.300500
707,541698.773640,183665.481500
708,539262.822868,183686.234500
709,540051.311871,183494.081500
710,540879.353663,183282.684000
711,543572.724552,183337.849000
712,542921.044963,183158.507000
713,541793.146455,183106.712500
714,540528.025532,182833.521500
715,539427.150097,182695.725000
716,541249.295512,182605.029500
717,542488.216515,182417.578000
718,539870.264672,182111.248500
719,540547.487075,182002.031500
720,541472.618827,181713.797000
721,544112.027445,181759.967000
722,539692.426117,181410.325500
723,542454.530849,181295.785500
724,541143.154521,181101.343000
725,542009.482781,180183.600500
726,540585.539065,192598.104500
727,547511.300234,192313.955000
728,545662.288665,192161.808500
729,541386.416136,192015.173500
730,542297.801244,191594.883000
731,544366.714414,190956.046000
732,540042.794138,190505.127500
733,542844.501527,190523.062500
734,541341.021416,190283.138000
