Home,Location,N(0-4),N(5-10),N(11-15),N(16-24),N(25-34),N(35-49),N(50-64),N(65-74),N(75+)
74,74,472,715,392,855,1103,1677,1582,665,666
75,75,497,624,352,736,1029,1609,1467,779,709
76,76,531,746,338,711,1266,1781,1481,722,964
77,77,603,876,435,1008,1473,2033,1930,817,863
78,78,453,725,347,698,984,1594,1519,791,814
79,79,595,775,414,937,1201,1899,1767,779,718
80,80,732,1118,650,1100,1779,2437,1946,791,718
81,81,682,920,442,943,1437,2198,2191,1127,942
82,82,509,687,378,830,1141,1491,1514,705,636
83,83,374,590,340,756,842,1403,1542,755,605
84,84,404,612,366,720,917,1617,1600,783,927
85,85,457,648,313,754,1002,1502,1493,785,729
86,86,504,656,356,787,806,1544,1564,751,830
87,87,529,715,306,1200,1418,1847,1536,814,1050
88,88,490,727,401,1074,1245,1771,1871,1009,1245
89,89,472,673,343,704,860,1344,1237,554,507
90,90,881,1027,467,1050,1769,2233,1855,869,707
91,91,652,840,463,1011,1359,1930,1479,686,520
92,92,761,874,400,963,1546,1898,1699,803,786
93,93,542,567,264,618,1007,1362,1269,899,740
94,94,649,823,421,982,1268,1823,1639,665,583
95,95,613,803,420,900,1188,1651,1436,674,524
96,96,767,845,386,943,1542,1781,1397,511,531
97,97,434,523,347,1523,1411,1412,1515,800,615
98,98,690,968,491,949,1384,1990,1568,688,611
99,99,560,801,472,919,975,1475,1263,468,371
100,100,667,978,480,1039,1307,1756,1579,565,599
101,101,502,605,286,705,1151,1409,1226,561,634
102,102,764,927,449,917,1488,2304,1511,631,480
103,103,827,1061,483,1152,1739,2219,1750,621,519
104,104,712,872,414,1335,2362,2638,1742,712,450
105,105,494,639,348,653,1004,1413,1060,502,358
106,106,835,1028,492,2237,2392,2587,1739,654,600
107,107,566,605,289,957,1781,1812,1333,633,412
108,108,837,1020,480,947,1619,2559,1814,679,561
109,109,613,887,440,1046,1765,2426,1872,608,560
110,110,774,1204,656,1321,1156,1714,1739,575,412
111,111,609,689,349,1308,2360,2236,1376,539,422
112,112,483,535,234,857,2148,1986,1340,531,459
113,113,729,879,423,1100,1804,2125,1390,400,290
114,114,1071,1404,730,1512,1785,2594,2268,662,667
115,115,662,964,479,1108,1647,2252,1869,589,497
116,116,814,1081,552,1148,1254,1651,1417,437,402
117,117,592,688,244,743,2126,2308,1349,519,407
118,118,839,979,492,1109,1777,2450,1628,700,507
119,119,448,690,342,767,1156,1641,1432,597,528
120,120,1230,1534,794,1760,2404,3801,2741,702,546
121,121,793,784,394,848,1972,2459,1570,609,429
122,122,762,841,364,869,1825,2469,1820,647,584
123,123,718,811,409,833,1253,1620,1294,428,346
124,124,676,978,505,817,1271,1999,1476,615,536
125,125,505,696,324,633,874,1664,1357,666,601
126,126,651,706,307,660,1161,2121,1455,634,391
127,127,785,694,321,701,2357,3046,1312,445,227
128,128,748,648,275,577,1933,2558,1453,736,640
129,129,552,883,498,679,994,2283,2034,905,1140
130,130,870,996,378,780,2103,2827,1824,788,654
131,131,683,911,481,1093,1734,2385,1696,514,406
132,132,294,495,230,568,528,1018,1064,560,631
133,133,499,671,281,537,1136,1894,1391,752,811
134,134,443,491,201,426,1203,1823,1577,845,1041
135,135,582,690,260,470,1156,1974,1365,471,400
136,136,621,995,520,953,1110,1625,1365,558,471
137,137,515,610,272,570,1054,1907,1247,443,361
138,138,545,847,378,659,979,1979,1460,793,655
139,139,621,849,343,666,1625,2319,1526,704,616
140,140,771,1054,472,912,1222,1768,1340,622,453
141,141,696,762,380,651,1301,2257,1534,638,711
142,142,393,760,434,722,676,1499,1692,857,749
143,143,378,577,317,563,524,1305,1285,708,658
144,144,540,734,369,715,1010,1573,1498,628,539
145,145,426,809,460,835,797,1712,1768,708,623
146,146,470,692,305,488,569,1646,1423,842,748
147,147,616,813,417,708,918,1637,1319,543,464
148,148,381,764,440,720,501,1598,1582,817,616
149,149,550,669,348,656,1041,1629,1582,780,727
