,Name,S,E,A,Ia,Is,R,Im
113,E07000087,0.9781670881781961,0.0043882973602141825,0.0039994624337729755,0.001142087154651887,0.005948658721527573,0.006290752810980793,0.0003210020969225445
114,E07000088,0.9791377520173563,0.004410989911323335,0.0041569067221544475,0.0012737254128571086,0.006758541073404359,0.004183923587955274,0.00020996210229851063
115,E07000089,0.9803503652734593,0.004313106812928656,0.0040527791974557005,0.0012228928990874613,0.006455921023589998,0.0035331060396809333,0.00013197237468285576
116,E07000090,0.984399922987626,0.0033208818203147995,0.0030983535947420324,0.0009237669467541949,0.0048631881321942565,0.0033395272915980323,0.00019068735960132318
117,E07000091,0.989218623262175,0.0024023754579633257,0.0022569268166205674,0.000672089381888184,0.0035302805597088437,0.0018821649663427475,7.634387907070086e-05
118,E07000092,0.9832662169228424,0.003241909519420785,0.0031314190146287625,0.0010184927477049203,0.005490408486278491,0.0037839107027149987,0.00013007047854551792
119,E07000093,0.9853529778168287,0.003211968914462866,0.0030222610987953183,0.0009123752573897816,0.004815760993021071,0.0026321729629776858,7.663356463200812e-05
120,E07000094,0.9836424757045042,0.0036643758744714272,0.0033830983479031357,0.0009962614244171128,0.005233917513876512,0.003021725504613215,0.00012840170347954748
121,E07000095,0.9709143822182048,0.00588090876160074,0.005419900143815794,0.0016860367447994616,0.009218877710145085,0.006765260782912619,0.00035176510668179613
122,E07000096,0.9766560088427895,0.004808547257663711,0.004421149409222997,0.0013678333289421207,0.00750329062855292,0.005150143770602966,0.00027865441178480025
123,E07000098,0.9503290188468652,0.009266819465665188,0.008680284229399354,0.002827847289546134,0.015139650692372915,0.013555410259691647,0.0007373276543319005
124,E07000099,0.9838653966674754,0.003448666432653912,0.0031871372177933593,0.0009404996383838083,0.0049436846160271055,0.00355956547623415,0.00017583476723141174
125,E07000102,0.9697125756833924,0.00773397794418568,0.006770463147228993,0.0018154750845425897,0.009322638715153571,0.0045516617004753845,0.00018614726208687605
126,E07000103,0.9472087263454645,0.01337737059323551,0.011443154969199804,0.0030917623398184803,0.016281622648458914,0.008423075297169236,0.0003261476494534766
127,E07000105,0.9857634219004716,0.0030699241697842885,0.002884859026135162,0.0008786181107459979,0.004654547451984821,0.002695162164378595,0.00012189286682493685
128,E07000106,0.9893848876079586,0.0022274343897838804,0.0020988806419153586,0.0006585743595606293,0.003525030390852281,0.0020630014823355136,0.00010396626577247602
129,E07000107,0.9819442639385364,0.0029497370282367745,0.002852105950516351,0.0009568742170328607,0.005230986883551689,0.005999332963035342,0.00021574580450797417
130,E07000108,0.9841859559572966,0.0035232051404492115,0.0032969953256234133,0.0009829798035244017,0.005170960598029359,0.0027837130377403874,0.00011753726774277441
131,E07000109,0.9792742051931974,0.004161100222764092,0.003848429398609554,0.0011469524612363687,0.006050712916618032,0.005450050316999411,0.00023687158248932735
132,E07000110,0.9863422388961648,0.0028741463962370386,0.0026249871264862825,0.0007624626485411543,0.00399557708749982,0.00335655580940164,0.000154660490019774
133,E07000111,0.9785265915051174,0.005000064239756684,0.00448999984965112,0.0012512330736051062,0.0064797989424245275,0.004184571719766272,0.00016124107074106436
134,E07000112,0.9840454454879833,0.003480222514081292,0.003283306202691866,0.0009950216755546823,0.005256358870570446,0.0028841122790222995,7.904183753927543e-05
135,E07000113,0.98694217137724,0.002634884257653375,0.0024721055800990626,0.0007516479066941647,0.0039809402326445266,0.0031725485637332795,0.00016068488134680318
136,E07000114,0.9862305967119636,0.0030766798664726576,0.00286233453841109,0.0008526185426704171,0.004490277261083686,0.00243763069425762,0.00011481047525628328
137,E07000115,0.9859667474951969,0.0028241943803793664,0.00268081000383235,0.0008291931315978362,0.004407212266364243,0.003240617405712576,0.0001210980856286794
138,E07000116,0.9850594290292652,0.0031951589096457494,0.0030315304477446093,0.0009333963586829388,0.004953225355724487,0.0027719505368943853,8.731519340753254e-05
139,E07000117,0.9759054465784862,0.005354402228245494,0.004910550877562053,0.001438064850818075,0.007552278774074573,0.004755256528347296,0.00023109458218014827
140,E07000118,0.9837839331863195,0.0035666436903049035,0.0033255133466974537,0.000994271153400835,0.0052408703315224275,0.0030298145071721017,0.0001647145649563178
141,E07000119,0.9723153783660436,0.0065329236623946265,0.0060010206384178005,0.0017081139605538336,0.008867044459810017,0.004489113541682022,0.00016436192320491062
142,E07000120,0.9795140554451421,0.003445928943881316,0.003382716339581646,0.0011267931836689853,0.006103218807891997,0.006333426975118739,0.00011898777456727113
143,E07000121,0.9874034386152584,0.0025207160295933114,0.00237441707174425,0.0007372405959932107,0.003931342108018171,0.0029863218740932007,0.0001726266281479792
144,E07000122,0.979464910779898,0.004082820633072946,0.003864551414775914,0.0012012055200421924,0.0064007206575544375,0.004910420197996035,0.00023939401531516356
145,E07000123,0.9818110829898316,0.003186519112951641,0.003024958100091991,0.0009837873508167436,0.005367043562366222,0.005560065757848065,0.0002579017480360829
146,E07000124,0.9708326963584956,0.006361004368001805,0.006042515137858945,0.0018277405456609873,0.009632228105399047,0.005213329483283458,7.402948996712626e-05
147,E07000125,0.979935625501904,0.003956937909199836,0.003879771524282426,0.0012690152334209502,0.006831537574247252,0.004055777428613516,3.7641252039352395e-05
148,E07000126,0.9830011208564106,0.0037851205618827893,0.003530183131006682,0.0010540057859947326,0.005552434435910395,0.00301490660472703,0.0001440265080659599
149,E07000127,0.9795683454994902,0.00447802830636705,0.004059507575937083,0.0011576302687286953,0.006034894355443171,0.004636586577160706,0.00023277842323474348
150,E07000128,0.9832828330903323,0.0036972076249800665,0.0034809791132118027,0.0010427573519125402,0.005486964651008299,0.0029528785416989,7.30467259750389e-05
151,E07000129,0.9798962239908328,0.004494469517055282,0.004153932043957808,0.0012242847840553907,0.006432451311258698,0.0037271607110167526,0.00015035928114779895
152,E07000130,0.9894198783803037,0.002015374370880514,0.0018914349782766077,0.0005875882856579743,0.003136644185218643,0.0029117350783964824,0.00015298731484462307
153,E07000131,0.9782355757205599,0.004979239526215996,0.004615525447336233,0.0013475237024811355,0.007048530433207233,0.003699240957012684,0.00010227936915505372
154,E07000132,0.9819719423326011,0.00404917681239225,0.0037403734870229918,0.0010961054725966346,0.005747006055710765,0.003332175623940392,0.00016032325828097075
155,E07000133,0.9651249019839339,0.007663792714070816,0.0072556259947579044,0.0021819841476757814,0.011483700620325261,0.006171226615330316,0.00024819140305020826
