,Name,S,E,A,Ia,Is,R,Im
70,E07000031,0.9930249756702451,0.001367730840509862,0.0011138573992350248,0.00030936421140366716,0.003026233133832352,0.007479101728834037,0.0014964070687279606
71,E07000032,0.9964064010773693,0.00030044442039407304,0.00038380365681943114,0.0002590978121592506,0.0025764348882560324,0.008818233667909015,0.0006052502688419524
72,E07000033,0.9947505583782674,0.00036129896413429076,0.0005353615106122578,0.0004359478657606659,0.004658090486000778,0.02181312940022484,0.00039340257020803655
73,E07000034,0.9966651664403482,0.00010428893439703921,0.0002137611211875844,0.0002503747028583896,0.0026655483769081854,0.004675833636688331,0.0003971862869779965
74,E07000035,0.9961182539340225,0.000584551384829147,0.000649124036858273,0.00034965978530005143,0.0036200020980664987,0.0031525388802631227,0.0003916953185565605
75,E07000036,0.995567725216818,0.00022239365840678505,0.0003355558729238345,0.0002758972842155197,0.0029977431625822716,0.006336265936387919,0.0007681387521275078
76,E07000037,0.996159325841184,0.00019901617438150212,0.00029352319541144247,0.00025607281194721957,0.002450229251015896,0.0034536222223732205,0.000527709176938003
77,E07000038,0.9949560071226633,0.00018070761609213662,0.0003024981496430228,0.0002691130826766052,0.0027432421851355535,0.007454363784172746,0.000809342795527681
78,E07000039,0.9937202948550701,9.587384298575464e-05,0.00022876272365976157,0.00026711557779618493,0.0027429388325143655,0.0029091528961248114,0.0007945674034065517
79,E07000040,0.9987773992425455,0.0007274495429141672,0.0006059179000736303,0.00017535632698286363,0.0017140860061989514,0.0047858451667777135,0.0001230099974730732
80,E07000041,0.994660074405542,0.00012380062659505324,0.0002236429570876674,0.00022690218676152117,0.002303887816249231,0.003582039616815913,0.0004792252242976871
81,E07000042,0.9980502971678596,6.798870313258932e-05,0.00018626315318125313,0.0002493645817716216,0.0026641343596066295,0.010030926625596903,0.00017334865660865366
82,E07000043,0.9988134850896946,0.001055093492161411,0.0009470136031836057,0.00034222543136877727,0.0034325742839379733,0.007860288693126605,6.984669306607008e-05
83,E07000044,0.9981395925134969,2.5664938084287797e-05,0.00014584616392241531,0.0002382150874398389,0.0024079615683657517,0.004687658328968891,0.00014329316398607432
84,E07000045,0.9979919593366758,0.00011633066175494357,0.00019223959292757997,0.00016945681727620042,0.0017338147854330556,0.009400083334147102,0.00024339971262273225
85,E07000046,0.9983622278901673,4.6942599893303244e-05,0.000191134933783375,0.000280625465921478,0.002905552671594307,0.0034112718916780027,9.328160444242552e-05
86,E07000047,0.9972891689158739,0.00010096992902936257,0.00028188165060285294,0.0003714393957167471,0.003894419359468624,0.004055605729697542,0.00022498330152794202
87,E07000061,0.9972251079387094,0.00015502961690160442,0.00025589932231541695,0.00022220724048170034,0.00235383797450956,0.005148564269792821,0.00046153045137933694
88,E07000062,0.9954458440358013,0.00015974244029620893,0.00033761877336603504,0.00035321320202012763,0.0038275568842214332,0.003617664050338476,0.00012733751148824894
89,E07000063,0.9967347289625246,0.00011822923025287236,0.0002146592492326151,0.00021669459000445653,0.002270965821168918,0.0038086552922456107,0.0004503024817002466
90,E07000064,0.9985813152094342,2.4568893740718263e-05,0.00012423757808216812,0.00019598718302519228,0.002199806863274417,0.0045024806287107255,0.00017802112214289676
91,E07000065,0.9978620478616925,8.44654225279794e-05,0.0001548717518024955,0.00013901532428730017,0.0014559814748321767,0.006932600552502444,0.000285213201026654
92,E07000066,0.9938581367376026,0.00018960990079050323,0.0002544663294869916,0.000195231447881018,0.0020284321658216183,0.008586930961861916,0.0007522247090331379
93,E07000067,0.9968097083450842,0.000413073994051562,0.0004728385630133918,0.0002641171539202843,0.00276744219229039,0.004019570075699197,0.0004642573657878411
94,E07000068,0.9942033452957685,0.0004972887286677692,0.0005991416794133787,0.00036139817537757355,0.003788335698532301,0.004261841854607207,0.0008994153978718962
95,E07000069,0.9961662399393701,0.00025149836281909374,0.0003615034067261328,0.0002771097650647759,0.0028255950165463734,0.005501269633964578,0.0005649850065488507
96,E07000070,0.9956064341832744,0.00011555866174326935,0.00019318505831810047,0.0001731580995121198,0.0017937013449216656,0.007478587072974774,0.0005957714014805371
97,E07000071,0.9975504546606041,0.0001071143128427038,0.00021172184901282925,0.00020639578924783468,0.0021694396286266507,0.005069459274074983,0.00027875153424156737
98,E07000072,0.9885309532027313,0.0004629796956836437,0.0005420038408169161,0.00032139347370196053,0.0034940449766433343,0.006767610737653085,0.0014100778101558415
99,E07000073,0.991797647332737,0.0002439324770834814,0.0004093654443792191,0.0003722681042950785,0.0038696205793342284,0.008672517341051345,0.001077610965758515
100,E07000074,0.9964021853883552,0.0006888319484900567,0.0007596768153689827,0.0004127450100022581,0.003977996775330189,0.003684541542231967,0.00046837449377861996
101,E07000075,0.9952887494233262,0.00011695931822945536,0.0002538150179915963,0.0002948691408086495,0.0029163648562240594,0.013706362116157167,0.0006552242690378956
102,E07000076,0.9975437075952533,9.740230070328625e-05,0.0001645771233191579,0.00014652835779477424,0.0015574087280319994,0.0066572313872823585,0.0004793524100646541
103,E07000077,0.995406174615332,0.000130334475603923,0.0002963756977383278,0.00032285188461982675,0.0033953217027584367,0.009200650766678642,0.0005721266011698635
104,E07000078,0.995950089532189,6.7588674374783e-05,0.00019177215486265346,0.00023509301371954345,0.002546763949767674,0.004716499522167683,0.0005552829572065581
105,E07000079,0.9969913511297571,5.7238816886514944e-05,0.00017439946107522056,0.00022512413359145145,0.002351074618993589,0.00934817327198223,0.00036777620706324274
106,E07000080,0.996730910958332,0.00019839949413623164,0.00030593052530040267,0.00026794801084087497,0.0026266810987390452,0.006335240719340884,0.0003564476707432073
107,E07000081,0.9932496085151709,0.00018879767247679017,0.00030116624125877707,0.00027628324797340765,0.002724923026446535,0.018056340828588424,0.0008213976211939434
108,E07000082,0.9973501730148276,0.00014253898930312303,0.00024065073955329726,0.0002177323062812835,0.0022741088439681067,0.007164372775445904,0.0004226005490967127
109,E07000083,0.9969221924987361,5.3337846480817475e-05,0.00021231385717554745,0.0003010599327498862,0.0030798154532093694,0.003036695066672923,0.0004350121481881364
110,E07000084,0.9928074350694048,0.00012046311435656523,0.00018606011136881883,0.00017267277573580008,0.0017272078870637392,0.0039106421813237535,0.0006843348257511156
111,E07000085,0.9969116603885335,5.39242197796798e-05,0.00016971634559115,0.00020313973834681044,0.002205141579410625,0.008561565270471472,0.0003189261568648109
