Home,Location,S(0-49),E(0-49),I(0-49),R(0-49),S(50+),E(50+),I(50+),R(50+)
143,143,3913,0,0,0,2827,0,0,0
144,144,5270,0,0,0,2841,0,0,0
145,145,5368,0,0,0,3299,0,0,0
146,146,4447,0,0,0,3208,0,0,0
147,147,5445,0,0,0,2482,0,0,0
148,148,4701,0,0,0,3212,0,0,0
149,149,5216,0,0,0,3293,0,0,0
150,150,3768,0,0,0,3205,0,0,0
151,151,6809,0,0,0,5430,0,0,0
152,152,4713,0,0,0,3549,0,0,0
153,153,4769,0,0,0,3056,0,0,0
154,154,3810,0,0,0,3152,0,0,0
155,155,4603,0,0,0,3435,0,0,0
156,156,5477,0,0,0,3331,0,0,0
157,157,3865,0,0,0,3125,0,0,0
158,158,4354,0,0,0,3410,0,0,0
159,159,4302,0,0,0,2682,0,0,0
160,160,5551,10,3,0,3541,1,0,0
161,161,6064,10,0,0,3373,10,0,0
162,162,6614,0,0,0,2887,0,0,0
163,163,6353,10,0,0,2846,1,0,0
164,164,7194,0,0,0,2496,0,0,0
165,165,6661,0,10,0,2803,1,0,0
166,166,9000,2,0,0,3101,0,0,0
167,167,7478,0,0,0,2415,0,0,0
168,168,7536,0,0,0,2700,0,0,0
169,169,8891,0,0,0,2349,0,0,0
170,170,5451,0,0,0,2203,0,0,0
171,171,7657,0,0,0,2807,0,0,0
172,172,8068,0,0,0,2356,0,0,0
173,173,5381,0,0,0,2196,0,0,0
174,174,7558,0,0,0,2206,0,0,0
175,175,7044,0,0,0,2095,0,0,0
176,176,6327,0,0,0,2348,0,0,0
177,177,5694,0,0,0,2918,0,0,0
178,178,8135,0,0,0,2116,0,0,0
179,179,7069,0,0,0,2885,0,0,0
180,180,6134,0,0,0,2046,0,0,0
181,181,8667,0,0,0,2424,0,0,0
182,182,6955,0,0,0,1928,0,0,0
183,183,5667,0,0,0,1416,0,0,0
184,184,6566,0,0,0,1974,0,0,0
185,185,7089,0,0,0,1614,0,0,0
186,186,6295,0,0,0,2489,0,0,0
187,187,6231,0,0,0,2364,0,0,0
188,188,6779,0,0,0,2631,0,0,0
189,189,6346,0,0,0,3487,0,0,0
190,190,5411,0,0,0,2676,0,0,0
191,191,6624,0,0,0,2969,0,0,0
192,192,6290,0,0,0,2456,0,0,0
193,193,5709,0,0,0,2705,0,0,0
194,194,6176,0,0,0,2671,0,0,0
195,195,6945,0,0,0,2311,0,0,0
196,196,5604,0,0,0,2882,0,0,0
197,197,5554,0,0,0,2383,0,0,0
198,198,6608,0,0,0,3012,0,0,0
199,199,7402,0,0,0,2804,0,0,0
200,200,6495,0,0,0,2661,0,0,0
201,201,8475,0,0,0,2427,0,0,0
202,202,6473,0,0,0,2360,0,0,0
203,203,5992,0,0,0,2520,0,0,0
204,204,4510,0,0,0,3584,0,0,0
205,205,7062,0,0,0,2244,0,0,0
206,206,8727,0,0,0,2400,0,0,0
207,207,3688,0,0,0,2557,0,0,0
208,208,8256,0,0,0,3065,0,0,0
209,209,4498,0,0,0,2443,0,0,0
210,210,9665,0,0,0,2537,0,0,0
211,211,4415,0,0,0,2367,0,0,0
212,212,3698,0,0,0,3837,0,0,0
213,213,10145,0,0,0,2599,0,0,0
214,214,7745,0,0,0,3089,0,0,0
215,215,5854,0,0,0,2469,0,0,0
216,216,6553,0,0,0,2082,0,0,0
217,217,5776,0,0,0,2240,0,0,0
218,218,5035,0,0,0,2574,0,0,0
219,219,4033,0,0,0,3486,0,0,0
220,220,7062,0,0,0,4430,0,0,0
221,221,4220,0,0,0,3550,0,0,0
222,222,4621,0,0,0,2170,0,0,0
223,223,6587,0,0,0,3949,0,0,0
224,224,4123,0,0,0,3505,0,0,0
225,225,3581,0,0,0,2718,0,0,0
226,226,4379,0,0,0,2146,0,0,0
227,227,5634,0,0,0,3119,0,0,0
228,228,4241,0,0,0,2855,0,0,0
229,229,4993,0,0,0,3021,0,0,0
230,230,4131,0,0,0,3554,0,0,0
231,231,6690,0,0,0,2726,0,0,0
232,232,5828,0,0,0,2995,0,0,0
233,233,7306,0,0,0,2847,0,0,0
234,234,4631,0,0,0,2059,0,0,0
235,235,4813,0,0,0,2049,0,0,0
236,236,5792,0,0,0,2675,0,0,0
237,237,5247,0,0,0,2248,0,0,0
238,238,6178,0,0,0,2263,0,0,0
239,239,6134,0,0,0,2544,0,0,0
240,240,7546,0,0,0,2959,0,0,0
241,241,5553,0,0,0,2123,0,0,0
242,242,5043,0,0,0,2432,0,0,0
243,243,3906,0,0,0,2394,0,0,0
244,244,4918,0,0,0,2557,0,0,0
245,245,9125,0,0,0,2306,0,0,0
246,246,6339,0,0,0,2974,0,0,0
247,247,5536,0,0,0,2866,0,0,0
248,248,6085,0,0,0,3200,0,0,0
249,249,6086,0,0,0,2589,0,0,0
250,250,10436,0,0,0,4002,0,0,0
251,251,5132,0,0,0,1839,0,0,0
252,252,4097,0,0,0,1956,0,0,0
253,253,6308,0,0,0,3026,0,0,0
254,254,8979,0,0,0,2854,0,0,0
255,255,6430,0,0,0,2480,0,0,0
256,256,8237,0,0,0,3650,0,0,0
257,257,5836,0,0,0,2597,0,0,0
258,258,7808,0,0,0,2868,0,0,0
259,259,8148,0,0,0,3308,0,0,0
260,260,5217,0,0,0,2088,0,0,0
261,261,5994,0,0,0,2950,0,0,0
262,262,5533,0,0,0,2488,0,0,0
263,263,5754,0,0,0,2024,0,0,0
264,264,4634,0,0,0,2261,0,0,0
265,265,4113,0,0,0,2357,0,0,0
266,266,10352,0,0,0,3803,0,0,0
