index,Area of residence,Area of workplace,All categories: Age 16 and over,16-24,25-34,35-49,50-64,65-74,75+
0,E02002498,S12000030,6.052631578947368,0.21052631578947367,1.631578947368421,2.526315789473684,1.631578947368421,0.05263157894736842,0.0
0,E02002496,S12000030,6.052631578947368,0.21052631578947367,1.631578947368421,2.526315789473684,1.631578947368421,0.05263157894736842,0.0
0,E02002500,S12000030,6.052631578947368,0.21052631578947367,1.631578947368421,2.526315789473684,1.631578947368421,0.05263157894736842,0.0
0,E02002504,S12000030,6.052631578947368,0.21052631578947367,1.631578947368421,2.526315789473684,1.631578947368421,0.05263157894736842,0.0
0,E02002503,S12000030,6.052631578947368,0.21052631578947367,1.631578947368421,2.526315789473684,1.631578947368421,0.05263157894736842,0.0
0,E02002510,S12000030,6.052631578947368,0.21052631578947367,1.631578947368421,2.526315789473684,1.631578947368421,0.05263157894736842,0.0
0,E02002513,S12000030,6.052631578947368,0.21052631578947367,1.631578947368421,2.526315789473684,1.631578947368421,0.05263157894736842,0.0
0,E02002505,S12000030,6.052631578947368,0.21052631578947367,1.631578947368421,2.526315789473684,1.631578947368421,0.05263157894736842,0.0
0,E02002502,S12000030,6.052631578947368,0.21052631578947367,1.631578947368421,2.526315789473684,1.631578947368421,0.05263157894736842,0.0
0,E02002497,S12000030,6.052631578947368,0.21052631578947367,1.631578947368421,2.526315789473684,1.631578947368421,0.05263157894736842,0.0
0,E02002499,S12000030,6.052631578947368,0.21052631578947367,1.631578947368421,2.526315789473684,1.631578947368421,0.05263157894736842,0.0
0,E02002501,S12000030,6.052631578947368,0.21052631578947367,1.631578947368421,2.526315789473684,1.631578947368421,0.05263157894736842,0.0
0,E02002506,S12000030,6.052631578947368,0.21052631578947367,1.631578947368421,2.526315789473684,1.631578947368421,0.05263157894736842,0.0
0,E02006811,S12000030,6.052631578947368,0.21052631578947367,1.631578947368421,2.526315789473684,1.631578947368421,0.05263157894736842,0.0
0,E02002509,S12000030,6.052631578947368,0.21052631578947367,1.631578947368421,2.526315789473684,1.631578947368421,0.05263157894736842,0.0
0,E02002507,S12000030,6.052631578947368,0.21052631578947367,1.631578947368421,2.526315789473684,1.631578947368421,0.05263157894736842,0.0
0,E02002508,S12000030,6.052631578947368,0.21052631578947367,1.631578947368421,2.526315789473684,1.631578947368421,0.05263157894736842,0.0
0,E02002514,S12000030,6.052631578947368,0.21052631578947367,1.631578947368421,2.526315789473684,1.631578947368421,0.05263157894736842,0.0
0,E02002512,S12000030,6.052631578947368,0.21052631578947367,1.631578947368421,2.526315789473684,1.631578947368421,0.05263157894736842,0.0
0,E02006910,S12000030,7.526315789473684,0.15789473684210525,1.736842105263158,3.0526315789473686,2.526315789473684,0.05263157894736842,0.0
0,E02002515,S12000030,7.526315789473684,0.15789473684210525,1.736842105263158,3.0526315789473686,2.526315789473684,0.05263157894736842,0.0
0,E02002516,S12000030,7.526315789473684,0.15789473684210525,1.736842105263158,3.0526315789473686,2.526315789473684,0.05263157894736842,0.0
0,E02002517,S12000030,7.526315789473684,0.15789473684210525,1.736842105263158,3.0526315789473686,2.526315789473684,0.05263157894736842,0.0
0,E02002518,S12000030,7.526315789473684,0.15789473684210525,1.736842105263158,3.0526315789473686,2.526315789473684,0.05263157894736842,0.0
0,E02002519,S12000030,7.526315789473684,0.15789473684210525,1.736842105263158,3.0526315789473686,2.526315789473684,0.05263157894736842,0.0
0,E02002520,S12000030,7.526315789473684,0.15789473684210525,1.736842105263158,3.0526315789473686,2.526315789473684,0.05263157894736842,0.0
0,E02002525,S12000030,7.526315789473684,0.15789473684210525,1.736842105263158,3.0526315789473686,2.526315789473684,0.05263157894736842,0.0
0,E02002534,S12000030,7.526315789473684,0.15789473684210525,1.736842105263158,3.0526315789473686,2.526315789473684,0.05263157894736842,0.0
0,E02002521,S12000030,7.526315789473684,0.15789473684210525,1.736842105263158,3.0526315789473686,2.526315789473684,0.05263157894736842,0.0
0,E02002526,S12000030,7.526315789473684,0.15789473684210525,1.736842105263158,3.0526315789473686,2.526315789473684,0.05263157894736842,0.0
0,E02002524,S12000030,7.526315789473684,0.15789473684210525,1.736842105263158,3.0526315789473686,2.526315789473684,0.05263157894736842,0.0
0,E02002530,S12000030,7.526315789473684,0.15789473684210525,1.736842105263158,3.0526315789473686,2.526315789473684,0.05263157894736842,0.0
0,E02002527,S12000030,7.526315789473684,0.15789473684210525,1.736842105263158,3.0526315789473686,2.526315789473684,0.05263157894736842,0.0
0,E02002532,S12000030,7.526315789473684,0.15789473684210525,1.736842105263158,3.0526315789473686,2.526315789473684,0.05263157894736842,0.0
0,E02002533,S12000030,7.526315789473684,0.15789473684210525,1.736842105263158,3.0526315789473686,2.526315789473684,0.05263157894736842,0.0
0,E02002523,S12000030,7.526315789473684,0.15789473684210525,1.736842105263158,3.0526315789473686,2.526315789473684,0.05263157894736842,0.0
0,E02006812,S12000030,7.526315789473684,0.15789473684210525,1.736842105263158,3.0526315789473686,2.526315789473684,0.05263157894736842,0.0
0,E02002529,S12000030,7.526315789473684,0.15789473684210525,1.736842105263158,3.0526315789473686,2.526315789473684,0.05263157894736842,0.0
0,E02006910,S12000034,1.105263157894737,0.8947368421052632,0.05263157894736842,0.15789473684210525,0.0,0.0,0.0
0,E02002515,S12000034,1.105263157894737,0.8947368421052632,0.05263157894736842,0.15789473684210525,0.0,0.0,0.0
0,E02002516,S12000034,1.105263157894737,0.8947368421052632,0.05263157894736842,0.15789473684210525,0.0,0.0,0.0
