usual residence : 2011 census merged local authority district,Clackmannanshire,Dumfries and Galloway,East Ayrshire,East Lothian,East Renfrewshire,Eilean Siar,Falkirk,Fife,Highland,Inverclyde,Midlothian,Moray,North Ayrshire,Orkney Islands,Perth and Kinross,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,Aberdeen City,Aberdeenshire,Argyll and Bute,City of Edinburgh,Renfrewshire,West Dunbartonshire,West Lothian,Angus,Dundee City,North Lanarkshire,East Dunbartonshire,Glasgow City
Hartlepool,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,10,8,1,4,0,0,0,2,0,1,0,4
Middlesbrough,0,5,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,31,2,3,0,0,0,0,0,0,2,0,7
Redcar and Cleveland,0,2,0,0,0,0,1,0,0,0,1,1,3,0,0,0,0,0,2,0,33,4,1,1,0,0,0,1,0,8,0,1
Stockton-on-Tees,0,0,0,0,0,0,0,2,1,0,0,5,4,0,0,0,0,0,1,0,25,0,6,2,2,0,0,4,0,1,0,3
Darlington,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,3,0,4
County Durham,0,3,1,0,0,0,0,12,1,0,0,2,10,0,3,0,0,0,1,1,12,5,13,18,1,0,3,13,1,4,3,6
Northumberland,0,11,2,20,0,0,0,2,6,0,1,5,1,0,1,206,0,3,4,5,20,7,9,52,2,0,3,3,0,1,3,7
Gateshead,0,1,2,1,0,0,0,8,1,0,0,4,6,0,1,0,0,0,1,0,6,0,1,14,1,0,5,2,0,2,0,1
Newcastle upon Tyne,0,2,3,1,0,0,4,5,0,1,1,1,2,0,1,0,0,0,0,1,16,0,5,10,2,0,0,6,1,8,0,15
North Tyneside,0,1,3,0,0,0,0,3,4,0,0,1,7,0,1,3,0,0,1,0,17,3,11,4,1,3,0,8,0,0,0,8
South Tyneside,0,0,0,0,4,0,0,6,1,1,1,1,0,0,0,3,0,2,1,2,32,4,6,10,0,2,2,1,0,7,0,5
Sunderland,0,0,0,0,0,0,0,1,0,0,3,4,9,0,0,0,0,0,2,9,9,1,4,11,1,0,0,6,1,3,0,7
Halton,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,2
