usual residence : 2011 census merged local authority district,Clackmannanshire,Dumfries and Galloway,East Ayrshire,East Lothian,East Renfrewshire,Eilean Siar,Falkirk,Fife,Highland,Inverclyde,Midlothian,Moray,North Ayrshire,Orkney Islands,Perth and Kinross,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,Aberdeen City,Aberdeenshire,Argyll and Bute,City of Edinburgh,Renfrewshire,West Dunbartonshire,West Lothian,Angus,Dundee City,North Lanarkshire,East Dunbartonshire,Glasgow City
Allerdale,0,21,0,0,0,0,1,0,0,0,0,1,0,0,4,1,0,0,0,0,4,1,1,0,4,0,1,0,2,1,0,4
Barrow-in-Furness,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,5,0,0,0,1,0,0,1
Carlisle,0,193,2,0,0,0,0,4,1,0,0,0,3,0,2,12,0,0,2,0,4,0,2,7,0,0,3,1,4,9,0,7
Copeland,0,1,0,1,0,0,0,0,0,1,0,0,2,0,2,0,0,0,3,1,3,1,0,0,1,0,0,0,0,0,0,3
Eden,0,16,2,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,2,1,3,0,0,0,2,0,1,3,0,3,0,2
South Lakeland,0,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,6,0,2,8,3,0,2,0,1,0,0,5
Burnley,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,1,0,2
Chorley,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,4,7,2,0,0,0,0,0,0,1,2,0,3,0,1
Fylde,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,3,0,0,0,1,0,1
Hyndburn,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,5,0,0,0,0,2
Lancaster,2,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,1,2,3,0,0,1,0,2,0,0,1,0,1
Pendle,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,2,0,0
Preston,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,4,0,0,0,0,1,1,0,0,0,0,0,0,0
Ribble Valley,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,3
Rossendale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,1,0,0,0,0,0,1,0,0,2
South Ribble,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,0,0,0,0,0,3,0,3,0,0,1,0,1
West Lancashire,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,5,3,1,2,6,0,0,3,0,1,0,3
Wyre,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,1,13,1,0,0,2,1,0,1,0,0,0,0
Bolton,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,1,0,2,3,3,0,3,1,0,0,0,3
Bury,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,1,0,1,0,0,1,2,0,0,1,0,1,1,2
Manchester,0,0,0,0,0,0,0,1,0,0,2,0,6,0,0,0,0,2,5,0,1,0,2,2,3,0,1,0,0,1,0,14
Oldham,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,1,3,0,0,0,0,2,1,1
Rochdale,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,3,0,0,2,0,0,0,0,0,2,0,1
Salford,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,2,0,1,1,0,3,2,1,0,4,0,0,0,0,0,0,1
Stockport,0,1,1,0,0,0,0,0,1,0,2,0,3,0,0,2,0,3,1,0,8,0,0,3,1,0,0,2,0,2,2,2
Tameside,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,1,1,2
Trafford,0,2,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,2,0,6,2,2,1,0,1,1,0,1,0,1,3
Wigan,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,1,1,0,1,2,0,0,1,0,0,1,0,0,3,0,2
Knowsley,0,0,0,0,0,0,0,0,2,0,0,0,3,0,2,0,0,0,0,0,8,1,0,0,0,0,1,0,0,2,0,2
Liverpool,0,0,0,1,0,0,3,1,1,1,0,0,1,0,1,2,1,1,5,0,28,0,0,0,2,1,0,2,0,2,1,6
St. Helens,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,2,1,1,0,2,0,3,2,0,0,0,0
Sefton,0,2,0,0,0,0,1,1,1,1,0,0,5,0,0,0,0,0,6,1,13,5,0,0,4,0,0,1,0,1,0,4
Wirral,0,2,0,0,0,0,0,0,2,1,0,0,3,0,1,0,0,1,6,2,24,3,0,3,0,0,0,2,1,1,0,6
"Kingston upon Hull, City of",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,23,3,0,0,0,0,1,3,0,1,0,4
East Riding of Yorkshire,1,2,0,1,0,0,2,1,2,0,1,0,0,0,1,0,0,2,0,0,14,5,0,5,2,0,3,0,0,1,1,6
North East Lincolnshire,0,0,0,0,0,0,1,2,1,1,0,0,2,0,0,0,1,0,0,0,19,4,0,0,1,0,0,0,0,2,0,8
North Lincolnshire,0,1,1,2,0,1,1,0,0,0,0,0,5,0,1,0,0,0,0,0,6,1,0,0,1,0,1,0,0,71,0,2
York,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,1,0,6,0,0,1,0,0,1,0,1,0,0,1
Craven,0,1,0,0,0,0,0,0,23,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,2,0,0,0,1,2,0,0
Hambleton,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,6,1,0,1,1,0,0,0,0,2,0,1
Harrogate,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,2,0,1,2,0,2,1,0,2,0,1,1,0,0,0,0,0
Richmondshire,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,2
Ryedale,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0
Scarborough,0,0,0,0,0,0,1,1,1,0,2,0,0,0,1,0,0,0,0,0,16,0,0,1,1,0,2,1,0,0,0,1
Selby,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,0,1,1,1,0,0,1
Barnsley,0,1,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,8,1,2,1,1,3,0,0,0,1,0,4,0,4
Doncaster,0,0,26,0,0,0,1,2,1,0,0,0,5,0,1,0,0,0,2,2,3,0,0,2,3,0,1,2,0,6,0,2
Rotherham,0,3,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,22,0,5,0,0,2,3,0,1,0,0,23,0,1
Sheffield,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,118,0,6,1,1,4,4,0,1,0,1,8,0,5
Bradford,0,1,0,1,0,0,1,0,16,1,0,0,1,0,1,2,0,0,6,0,5,3,0,1,3,1,2,2,1,2,0,7
Calderdale,0,2,0,0,0,1,1,1,2,0,0,0,1,2,0,0,0,0,2,1,3,1,0,5,1,0,1,7,0,0,0,4
Kirklees,1,3,2,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,5,0,3,0,1,7,3,0,0,1,1,0,0,7
Leeds,0,1,0,1,0,0,0,3,3,0,0,0,4,0,1,2,0,0,10,0,9,3,0,2,8,0,5,1,0,2,1,12
Wakefield,1,0,0,0,0,0,4,2,4,0,0,0,3,0,2,0,0,1,4,3,1,0,0,0,1,0,0,0,0,3,1,5
Derby,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,3,0,0,3,1,0,0,0,0,0,0,4
Leicester,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,3
Rutland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nottingham,0,3,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,3,0,1,3,0,4,1,0,0,1,0,0,0,4
Amber Valley,0,4,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Bolsover,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,3,0,1
Chesterfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Derbyshire Dales,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Erewash,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0
High Peak,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,1,0,0
North East Derbyshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,1,0,0,1,0,0,0,0,4
South Derbyshire,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,5,0,0,0,0
Blaby,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0
Charnwood,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2
Harborough,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Hinckley and Bosworth,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Melton,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1
North West Leicestershire,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
Oadby and Wigston,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Boston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
East Lindsey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,9,2,1,2,3,0,0,0,0,0,0,0
Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,2
North Kesteven,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,2,0,0,0,0,0,0,2
South Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,1,0,0,1,0,0
South Kesteven,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,1,0,2
West Lindsey,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,5,0,2
Corby,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,40,0,0
Daventry,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
East Northamptonshire,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,4,0,0,0,0,2,0,0,0,0,0,2,0,1
Kettering,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,12,0,0
Northampton,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0
South Northamptonshire,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
Wellingborough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1
Ashfield,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,2
Bassetlaw,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,1,0,0,1,0,1
Broxtowe,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,3
Gedling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,1,0,2,2,0
Mansfield,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1
Newark and Sherwood,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0
Rushcliffe,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,2,0,1,4,1,0,0,0,0,0,0,0
"Herefordshire, County of",0,1,0,0,0,0,1,0,0,0,1,0,1,0,22,0,0,1,1,0,0,0,0,1,0,0,0,3,0,1,0,1
Telford and Wrekin,3,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,3,0,3,0,0,1,0,0,0,0,0,3,0,0
Stoke-on-Trent,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,1,1,5,1,0,0,0,0,0,0,1
Shropshire,1,1,0,0,0,0,0,0,1,0,2,0,1,0,1,0,4,0,3,1,5,2,0,0,0,0,0,0,0,3,0,2
Cannock Chase,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,2
East Staffordshire,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Lichfield,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
Newcastle-under-Lyme,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,1,0,0,0,0,1,0,0
South Staffordshire,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,1,1,0,5,0,1,0,0,0,0,0,1,0,0,5,0,0
Stafford,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,1,0,0,0,0,3,0,0,0,0,0,0,0,3
Staffordshire Moorlands,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,1,0,0,0,0,0,3,0,0
Tamworth,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
North Warwickshire,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Nuneaton and Bedworth,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,2,1,3,0,1,0,2,2,0,0,0,3
Rugby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Stratford-on-Avon,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,2
Warwick,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Bromsgrove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Malvern Hills,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1
Redditch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0
Worcester,0,0,1,0,0,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Wychavon,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,1,0,0
Wyre Forest,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0
Birmingham,0,0,2,0,0,0,2,1,1,0,7,0,1,0,1,2,0,0,11,0,3,0,0,2,2,1,0,1,2,8,1,11
Coventry,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,1,0,0,0,1,0,0,4
Dudley,0,1,1,0,0,0,1,0,0,0,31,0,0,0,1,0,0,0,3,1,1,3,0,0,0,0,1,1,0,7,0,8
Sandwell,0,0,0,0,0,0,1,0,1,0,17,0,2,0,1,0,0,0,1,0,2,0,0,1,0,0,0,3,0,2,0,1
Solihull,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,1
Walsall,0,0,0,0,0,0,0,0,0,0,22,0,2,0,0,0,0,1,4,0,0,0,0,1,4,0,1,0,0,0,0,0
Wolverhampton,0,1,0,0,0,0,2,0,1,0,97,0,0,0,1,0,1,0,4,0,1,0,0,0,1,0,1,0,0,3,0,3
Peterborough,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,3,0,0,0,0,0,1,0,0,0,0
Luton,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3
Southend-on-Sea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Thurrock,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,2
Bedford,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0
Central Bedfordshire,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
Cambridge,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,2,0,0,0,1
East Cambridgeshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Fenland,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Huntingdonshire,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2
South Cambridgeshire,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0
Basildon,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,3
Braintree,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2
Brentwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Castle Point,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Chelmsford,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,2,0,0
Colchester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,1,0,0,0,0,0,0,5
Epping Forest,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Harlow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Maldon,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,1
Rochford,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tendring,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
Uttlesford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0
Broxbourne,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0
Dacorum,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
East Hertfordshire,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Hertsmere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2
North Hertfordshire,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1
St Albans,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1
Stevenage,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Three Rivers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,4
Watford,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Welwyn Hatfield,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Breckland,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,4
Broadland,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,2,0,0,0,0,0,0,0,2
Great Yarmouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,8,0,0,0,0,0,0,0,1,1,0
King's Lynn and West Norfolk,0,0,0,0,0,2,0,0,0,0,0,0,6,0,1,0,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,1
North Norfolk,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,2,0,0,0,0,0,0,0,2,0,1
Norwich,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0
South Norfolk,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,3,0,0,0,0,0,1,0,1
Babergh,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Forest Heath,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ipswich,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,4
Mid Suffolk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
St Edmundsbury,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0
Suffolk Coastal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,3
Waveney,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,5,0,0,0,0,1,0,2
Barking and Dagenham,0,0,0,0,0,0,2,0,3,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
