usual residence : 2011 census merged local authority district,Clackmannanshire,Dumfries and Galloway,East Ayrshire,East Lothian,East Renfrewshire,Eilean Siar,Falkirk,Fife,Highland,Inverclyde,Midlothian,Moray,North Ayrshire,Orkney Islands,Perth and Kinross,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,Aberdeen City,Aberdeenshire,Argyll and Bute,City of Edinburgh,Renfrewshire,West Dunbartonshire,West Lothian,Angus,Dundee City,North Lanarkshire,East Dunbartonshire,Glasgow City
Hartlepool,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,24,16,0,0,0,0,0,3,0,0,0,1
Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,31,7,0,0,1,1,2,0,0,4,0,0
Redcar and Cleveland,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,48,1,0,0,2,0,1,1,2,2,0,3
Stockton-on-Tees,0,0,0,0,0,1,2,0,0,0,0,0,4,0,0,1,1,0,0,2,62,3,1,0,3,0,2,0,1,2,0,5
Darlington,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,1,0,0,0,0,0,0,0,1
County Durham,0,0,2,3,0,0,6,8,1,1,0,2,7,0,4,4,0,2,1,2,39,12,1,11,3,0,7,6,0,5,2,9
Northumberland,0,7,3,40,0,3,0,5,5,1,5,1,5,0,2,237,2,1,4,1,44,11,3,43,3,0,10,2,2,5,0,20
Gateshead,0,2,1,1,0,0,3,3,1,0,0,1,5,1,0,3,0,0,1,0,10,0,0,3,3,0,3,2,1,3,0,3
Newcastle upon Tyne,0,5,1,1,0,1,0,2,0,0,1,0,5,0,0,0,0,0,2,0,23,1,1,11,3,0,0,0,0,5,2,9
North Tyneside,0,0,1,0,0,0,1,5,1,0,3,0,5,0,0,3,3,1,0,0,51,6,0,7,2,0,1,0,0,1,1,5
South Tyneside,0,0,0,0,0,0,1,4,6,0,0,0,7,0,0,0,0,0,4,1,56,10,1,3,2,2,0,1,1,1,1,4
Sunderland,0,2,0,0,0,0,0,3,0,0,0,0,18,0,0,3,0,0,3,4,41,3,0,2,0,0,5,1,0,2,0,6
Halton,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,1,0,3,0,6,1,1,1,1,0,0,1,0,0,0,6
Warrington,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,4,0,1,5,0,4,0,0,2,2,0,1,0,0,1,0,5
Blackburn with Darwen,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,3,0,2,3,0,0,2,0,9,0,1,0,0,1
Blackpool,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4,0,0,0,0,1,2,5,0,0,0,2
Cheshire East,0,5,0,0,0,0,0,2,1,0,0,0,3,0,0,1,0,6,3,0,9,1,2,4,3,0,4,1,0,6,0,2
Cheshire West and Chester,0,1,1,0,0,0,3,2,2,0,0,0,1,0,1,0,0,0,2,0,18,2,1,4,5,0,1,0,0,2,0,3
