place of work : 2011 census merged local authority district,Clackmannanshire,Dumfries and Galloway,East Ayrshire,East Lothian,East Renfrewshire,Eilean Siar,Falkirk,Fife,Highland,Inverclyde,Midlothian,Moray,North Ayrshire,Orkney Islands,Perth and Kinross,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,Aberdeen City,Aberdeenshire,Argyll and Bute,City of Edinburgh,Renfrewshire,West Dunbartonshire,West Lothian,Angus,Dundee City,North Lanarkshire,East Dunbartonshire,Glasgow City
Hartlepool,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middlesbrough,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
Redcar and Cleveland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stockton-on-Tees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2
Darlington,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
County Durham,0,1,1,0,0,0,1,2,0,1,0,0,1,0,1,0,1,0,2,0,0,2,0,0,0,0,1,0,0,1,0,4
Northumberland,0,7,1,7,0,0,0,3,0,0,1,1,2,0,1,165,0,1,1,0,1,0,2,13,0,1,3,0,0,1,0,3
Gateshead,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
Newcastle upon Tyne,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,5,0,2,0,1,1,1,0,15,1,0,0,2,1,1,1,8
North Tyneside,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
South Tyneside,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
Sunderland,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,1
Halton,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Warrington,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
Blackburn with Darwen,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Blackpool,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0
Cheshire East,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,1,0,1,0,0,2
Cheshire West and Chester,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,1,0,6,0,0,1,2,1,2,0,0
Allerdale,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0
Barrow-in-Furness,0,1,1,0,0,0,0,1,1,2,0,0,0,0,1,0,0,1,0,0,0,0,3,2,1,1,0,0,0,1,0,0
Carlisle,1,361,2,0,1,0,1,1,1,0,0,0,0,0,0,18,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,2
Copeland,0,2,0,0,2,0,0,0,2,1,0,0,0,0,1,1,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,1
