usual residence : 2011 census merged local authority district,Clackmannanshire,Dumfries and Galloway,East Ayrshire,East Lothian,East Renfrewshire,Eilean Siar,Falkirk,Fife,Highland,Inverclyde,Midlothian,Moray,North Ayrshire,Orkney Islands,Perth and Kinross,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,Aberdeen City,Aberdeenshire,Argyll and Bute,City of Edinburgh,Renfrewshire,West Dunbartonshire,West Lothian,Angus,Dundee City,North Lanarkshire,East Dunbartonshire,Glasgow City
Hartlepool,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,1,37,8,5,3,1,0,2,2,0,1,0,4
Middlesbrough,0,0,0,1,0,0,1,3,0,0,2,0,4,0,1,0,0,0,1,0,48,2,1,1,1,0,1,5,0,1,0,5
Redcar and Cleveland,0,2,0,0,0,0,1,0,2,0,0,1,2,0,1,0,1,0,0,1,58,2,3,3,0,1,0,1,0,10,0,5
Stockton-on-Tees,0,1,1,1,0,0,4,3,1,0,0,0,10,0,0,0,0,0,1,6,56,5,7,8,4,0,7,0,0,2,0,10
Darlington,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,10,1,1,3,0,0,0,0,0,3,0,4
County Durham,1,6,4,0,0,2,2,16,0,0,0,2,16,1,5,3,0,1,6,1,38,10,3,23,4,1,15,12,2,9,1,20
Northumberland,1,10,0,51,1,1,1,9,2,2,4,4,8,0,3,304,1,1,8,0,32,5,8,78,3,1,11,5,2,5,0,16
Gateshead,0,0,1,0,0,0,0,7,2,0,0,1,11,0,2,3,0,0,5,0,18,2,6,13,6,0,3,1,0,4,2,10
Newcastle upon Tyne,0,3,3,2,0,0,0,7,3,0,0,0,1,0,2,4,0,0,4,2,24,4,4,17,1,1,1,2,0,5,1,10
North Tyneside,0,1,1,1,0,0,0,1,1,0,0,2,9,0,0,2,3,2,0,0,50,7,7,14,3,1,1,0,0,7,0,8
South Tyneside,0,0,0,0,0,0,0,4,2,0,0,1,7,2,0,2,1,0,2,0,95,10,1,5,1,1,5,0,1,4,0,5
Sunderland,0,0,0,0,1,0,0,3,3,0,1,2,22,0,1,0,0,2,2,4,40,5,5,20,1,0,8,6,4,2,0,9
Halton,0,0,0,0,0,0,1,2,0,0,0,0,3,0,1,0,0,0,1,0,2,2,0,1,1,0,3,2,0,1,3,3
Warrington,0,2,1,0,0,0,0,0,0,0,1,1,3,0,0,1,2,1,4,0,8,0,2,4,1,0,2,0,0,3,3,7
Blackburn with Darwen,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,5,3,1,1,1,0,26,0,0,2,1,3
Blackpool,0,2,0,1,0,0,1,1,4,0,0,0,2,0,0,0,0,0,0,0,7,0,0,1,1,0,1,4,0,0,0,5
Cheshire East,0,7,0,0,0,0,0,2,1,0,0,0,3,0,1,0,0,6,8,1,9,2,0,7,0,0,3,1,1,5,1,9
Cheshire West and Chester,0,1,1,0,0,0,1,4,1,0,0,1,5,0,1,0,0,0,10,1,14,1,3,11,4,0,3,2,0,2,0,10
Allerdale,0,18,1,2,0,0,0,1,2,0,0,1,0,0,2,3,0,0,5,0,6,0,2,5,5,0,2,0,1,1,0,5
Barrow-in-Furness,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,10,0,8,1,4,0,2,0,0,0,0,1
Carlisle,0,301,1,1,0,3,1,3,1,0,1,0,5,0,0,6,0,2,8,2,3,1,2,5,3,0,1,7,1,3,0,17
Copeland,0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,3,1,0,0,0,0,0,1,1,1
Eden,0,29,0,0,0,0,2,0,1,0,0,0,0,0,1,3,0,1,6,1,1,0,3,1,1,0,0,1,0,2,0,2
South Lakeland,0,5,0,1,0,0,0,3,2,2,0,0,0,0,0,0,0,1,1,1,3,3,5,5,2,1,0,0,1,0,0,0
Burnley,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,3,0,0,0,0,6,0,0,4,0,0
Chorley,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,1,6,0,5,1,1,1,0,0,2,1,0,1,0,4
Fylde,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,2,0,0,1,0,0,1,0,1
Hyndburn,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,1,1,4,0,0,8,0,0,1,0,2
Lancaster,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,2,2,9,2,4,1,6,0,0,0,0,3,0,4
Pendle,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,2,0,0,1,0,1,5,1,2,1,0,3,2,0,0,0,4
Preston,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,4,0,1,0,0,2,1,0,1,1,0,1,0,10
Ribble Valley,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,1,0,1
Rossendale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,1,0,0,0,0,0,3,0,3
South Ribble,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,5,0,3,0,0,0,1,5
West Lancashire,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,1,2,1,2,0,0,0,1,0,2,0,1
Wyre,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,1,18,1,0,4,2,0,0,1,1,1,0,2
Bolton,0,1,0,0,0,0,0,2,3,1,1,1,0,0,0,1,1,0,0,3,4,2,3,4,1,0,5,0,0,1,0,7
Bury,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,1,2,0,4,3,2,2,0,0,1,0,0,1,0,5
Manchester,0,2,0,1,0,0,0,0,2,0,0,1,7,0,3,0,1,2,9,2,10,1,8,6,4,0,3,4,0,4,1,10
Oldham,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,2,0,0,0,3,0,0,0,4,0,1,0,7
Rochdale,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,2,0,6,2,2,1,3,0,1,0,0,3,0,3
Salford,0,1,0,0,0,0,0,0,0,0,0,0,4,0,2,3,0,0,0,0,2,1,4,4,2,0,2,0,0,4,1,4
Stockport,0,0,1,0,0,0,0,0,2,0,0,0,14,0,1,0,0,1,4,1,7,2,0,9,2,0,1,2,1,2,1,5
Tameside,0,0,1,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,1,0,5,1,3,6,1,0,1,3,0,2,1,8
Trafford,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,4,1,4,1,2,3,0,0,0,2,0,2,0,5
Wigan,0,0,2,0,0,0,3,1,1,0,0,0,5,0,0,4,0,1,4,0,8,1,2,5,0,0,4,3,0,2,0,18
Knowsley,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,2,0,4,1,1,3,1,0,0,0,1,1,0,17
Liverpool,0,0,0,0,0,0,3,2,3,0,1,0,5,0,1,1,0,0,3,1,22,3,1,5,1,0,8,2,0,5,0,17
St. Helens,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,1,0,5,0,3,2,2,2,1,0,4,0,0,2,0,8
Sefton,0,0,0,0,0,0,0,1,3,0,0,0,1,0,1,0,0,0,5,2,24,7,0,6,1,0,6,3,0,0,0,5
Wirral,0,1,0,0,1,0,1,1,2,0,0,0,8,0,2,0,0,0,5,0,14,5,4,13,3,1,3,3,0,3,0,7
"Kingston upon Hull, City of",0,0,0,0,0,1,0,1,0,1,0,0,0,0,3,0,0,0,1,0,20,8,5,6,2,1,0,0,0,2,0,7
East Riding of Yorkshire,1,0,0,0,0,0,0,2,5,1,0,3,2,0,0,0,0,3,1,0,26,5,2,4,9,1,1,4,1,1,0,8
North East Lincolnshire,0,1,0,0,0,0,3,0,1,0,1,0,1,0,0,0,0,0,0,0,13,3,0,5,7,0,0,2,1,3,0,5
North Lincolnshire,0,2,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,1,0,6,1,2,4,0,0,0,1,1,79,0,4
York,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2,1,0,6,0,0,3,1,1,1,0,8
Craven,0,0,0,0,0,0,0,0,21,1,0,0,2,0,0,0,0,0,2,0,3,0,0,0,0,0,0,1,0,1,1,0
Hambleton,0,0,1,0,0,0,1,2,2,0,0,1,3,0,0,0,0,1,0,1,9,0,2,5,2,0,1,0,0,0,0,3
Harrogate,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,2,0,5,0,0,9,0,0,1,0,0,1,1,4
Richmondshire,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3,1,0,3,1,0,2,0,0,0,0,4
Ryedale,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,0,1,0,0
Scarborough,0,1,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,5,14,3,1,2,0,0,1,1,0,1,0,2
Selby,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,2,0,1,0,0,4,2,0,2,0,0,0,0,1
Barnsley,0,0,0,0,0,0,1,1,1,0,0,0,3,0,1,0,1,1,20,0,2,0,0,3,5,0,2,0,0,15,0,7
Doncaster,0,1,19,1,0,0,2,1,3,0,0,0,7,0,0,0,0,2,6,1,4,0,6,2,2,0,4,2,0,7,0,13
Rotherham,0,1,1,0,0,0,3,4,0,0,0,1,3,0,0,0,0,0,18,0,6,1,0,1,0,1,3,0,0,69,0,4
Sheffield,0,2,0,0,0,0,0,3,0,0,1,0,1,0,1,1,0,0,156,1,8,2,2,6,3,0,3,1,0,21,1,7
Bradford,0,3,0,0,0,1,1,3,22,1,0,1,1,2,3,2,0,0,7,0,8,3,0,5,1,1,3,9,1,6,0,11
Calderdale,0,3,1,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,1,0,7,0,0,9,0,0,3,3,0,1,0,4
Kirklees,2,0,0,0,0,0,1,3,1,2,1,0,2,2,4,4,0,1,5,1,8,2,0,6,0,0,3,2,3,3,0,7
Leeds,1,4,0,0,0,1,0,5,0,0,0,0,3,0,3,3,0,1,16,3,18,2,3,23,3,0,8,4,0,6,0,20
Wakefield,1,5,0,0,0,0,2,4,6,1,2,0,3,0,2,0,0,1,5,2,2,3,2,0,4,0,0,1,0,7,0,5
Derby,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,1,0,0,28,1,0,1,1,0,2,0,3
Leicester,0,0,0,0,0,0,0,0,6,0,0,0,1,0,1,0,0,0,5,0,0,0,2,2,0,1,1,0,1,0,0,2
