usual residence : 2011 census merged local authority district,Clackmannanshire,Dumfries and Galloway,East Ayrshire,East Lothian,East Renfrewshire,Eilean Siar,Falkirk,Fife,Highland,Inverclyde,Midlothian,Moray,North Ayrshire,Orkney Islands,Perth and Kinross,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,Aberdeen City,Aberdeenshire,Argyll and Bute,City of Edinburgh,Renfrewshire,West Dunbartonshire,West Lothian,Angus,Dundee City,North Lanarkshire,East Dunbartonshire,Glasgow City
Rutland,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,1
Nottingham,0,1,0,0,0,0,0,2,1,0,0,0,2,0,2,0,0,0,4,0,5,0,0,20,2,0,1,0,0,2,0,7
Amber Valley,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,6,0,0,1,0,0,0,1,1
Bolsover,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1
Chesterfield,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3,0,1,0,1,0,1,0,1,0,0,3,0,1
Derbyshire Dales,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,1,0,0,0,0,0,0,0
Erewash,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,1,0,1,0,0,9,0,0,1,1,1,0,0,3
High Peak,0,0,1,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,5,0,1,1,1,0,0,0,0,1,0,2
North East Derbyshire,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,1,1,0,1,0,2
South Derbyshire,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,1,17,0,1,0,2
Blaby,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1
Charnwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,1,2,0,0,1,0,0,3,0,7
Harborough,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,1,0,4,0,2
Hinckley and Bosworth,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,3,0,0,2,0,0,0,1,0,0,0,1
Melton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,1,0,0,1,0,0
North West Leicestershire,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,2,0,2,1,0,0,1,0,0,0,1
Oadby and Wigston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Boston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
East Lindsey,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,1,0,0,5,2,1,1,0,0,0,0,0,1,0,2
Lincoln,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,2,0,0,1,0,2
North Kesteven,0,1,0,0,0,0,0,3,1,1,1,2,1,0,0,0,0,0,1,0,6,2,1,0,3,0,0,0,0,0,0,3
South Holland,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,1,0,0,0,0,0
South Kesteven,0,2,0,0,0,0,0,2,5,0,2,0,1,0,0,0,0,0,0,2,1,0,0,4,5,0,1,0,0,1,0,2
West Lindsey,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,2,4,0,0,0,0,0,0,0,0,12,0,1
Corby,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,65,0,2
Daventry,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0
East Northamptonshire,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,4,0,1
Kettering,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,12,0,3
Northampton,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,4,0,0,2,0,0,0,0,4
South Northamptonshire,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2
Wellingborough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,2,0,2
Ashfield,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,2,0,1,1,2,3,0,0,4,0,0,1,0,2
Bassetlaw,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,5,2,2,0,2,1,0,0,1,0,0,1,0,2
Broxtowe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11,0,0,1,0,0,4,0,4
Gedling,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,17,0,0,0,0,0,5,0,2
Mansfield,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,5,0,0,0,0,0,1,0,0
Newark and Sherwood,0,1,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,1,0,1,1,0,5,0,0,3,1,0,0,0,1
Rushcliffe,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,1,1,1,25,0,0,1,0,0,1,0,1
"Herefordshire, County of",0,2,0,0,0,0,1,0,0,0,0,0,1,0,20,0,0,1,0,1,1,1,0,2,2,0,1,4,0,0,0,4
Telford and Wrekin,0,0,0,0,0,0,1,1,1,0,2,1,0,0,0,1,1,0,2,1,1,0,3,2,1,0,0,0,0,1,0,4
Stoke-on-Trent,0,2,0,0,0,0,0,0,2,0,3,0,2,0,0,0,0,0,8,0,1,3,2,7,1,0,2,1,2,2,0,6
Shropshire,0,1,0,0,0,0,0,1,5,0,4,0,1,0,0,2,2,0,4,1,2,1,4,1,2,0,3,0,0,4,0,5
Cannock Chase,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,1,6,0,2,0,0,1,0,0,0,0,0,1,0,1
East Staffordshire,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0
Lichfield,0,2,0,0,2,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1
Newcastle-under-Lyme,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,2,1,1,0,0,0,0,0,0,0,1,0,0
South Staffordshire,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,1,0,2,0,1,0,1,2,0,0,1,0,0,2,0,0
Stafford,1,2,1,0,0,0,0,3,0,0,0,0,0,0,3,0,4,1,2,0,2,0,1,4,0,0,1,0,0,2,0,4
Staffordshire Moorlands,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,2,0,2,2,1,2,0,0,0,0,0,7,0,1
Tamworth,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,4
North Warwickshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,1,0,0,1,0
Nuneaton and Bedworth,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,1,0,0,0,1,0,0,0,3
Rugby,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,2
Stratford-on-Avon,0,1,0,0,0,0,0,1,0,0,0,0,4,0,2,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0
Warwick,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,1,0,1,3,1,0,3,2,1,0,0,3
Bromsgrove,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,1,4,0,0,0,1,1,3,0,0
Malvern Hills,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2
Redditch,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,1,0,2,0,0,0,0,0,0,0,2
Worcester,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,1,0,0,1,0,0,1,0,0,0,0,3
Wychavon,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,5,0,1,1,0,2,0,0,0,0,0,0,0,0
Wyre Forest,0,1,0,0,0,0,0,2,0,0,1,0,3,0,0,0,0,1,4,0,0,0,0,1,1,0,0,0,0,6,0,0
Birmingham,0,1,0,1,0,3,0,3,1,0,15,0,3,0,2,1,0,1,26,1,3,4,2,14,3,0,3,5,1,14,0,13
Coventry,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,1,7,1,0,3,3,0,3,0,0,0,0,4
Dudley,0,1,0,0,0,0,3,1,1,0,44,2,5,0,0,0,0,1,3,2,0,0,2,2,3,0,0,3,0,15,0,3
Sandwell,0,0,0,2,0,0,9,2,0,0,29,0,1,1,1,1,0,0,10,2,0,1,0,2,0,0,2,2,2,3,0,15
Solihull,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,7,0,1,2,2,0,3,0,6
Walsall,0,0,0,1,1,0,1,0,0,0,28,1,3,0,0,0,0,1,8,1,2,0,0,3,1,0,0,1,0,1,0,2
Wolverhampton,0,0,0,0,0,0,0,1,0,0,120,0,0,0,4,0,1,0,7,0,6,1,2,1,0,0,1,2,0,3,1,14
Peterborough,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,1,1,3,1,2,0,0,3,0,0,1,0,3
Luton,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,1,2,0,0,0,0
Southend-on-Sea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,5,1,0,2,0,0,2,0,4
Thurrock,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,1,0,2,0,0,3,1,0,0,0,0,1,0,2
Bedford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,1,2
Central Bedfordshire,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,5
Cambridge,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,5,0,0,0,2,0,0,0,0
East Cambridgeshire,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0
Fenland,0,0,0,0,0,0,0,2,2,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1
Huntingdonshire,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,2,1,2,2,3,3,1,0,0,0,1,1,0,2
South Cambridgeshire,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,1,1,0,0,0,0
Basildon,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,2,1,0,3,3,1,1,0,0,1,0,0
Braintree,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,1,3,0,0,1,0,1,0,0
Brentwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2
Castle Point,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1
Chelmsford,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,5,6,0,0,0,3
Colchester,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,2,0,0,1,1,1,0,4
Epping Forest,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,2
Harlow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,2,0,1
Maldon,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Rochford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Tendring,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4
Uttlesford,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0
Broxbourne,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0
Dacorum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1
East Hertfordshire,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2
Hertsmere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2
North Hertfordshire,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,5,2,0,1,0,0,1,0,0
St Albans,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,3,0,0,0,1
Stevenage,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,3
Three Rivers,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3
Welwyn Hatfield,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,3,0,0,0,0,3
Breckland,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,1,2,1,0,2,1,0,2,0,0,1,0,7
Broadland,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,6,4,0,1,0,0,2,0,0,0,0,2
Great Yarmouth,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,25,19,0,0,0,0,0,1,0,0,0,1
King's Lynn and West Norfolk,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,3,0,3,1,0,0,0,2,0,0,1,0,0,1
North Norfolk,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0,0,0,1,0,1,0,1
Norwich,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,1,0,0
South Norfolk,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,3,0,4,0,0,2,1,0,0,0,1
Babergh,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
Forest Heath,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ipswich,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2
Mid Suffolk,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
St Edmundsbury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,2,0,0,3,0,1,0,1
Suffolk Coastal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0
Waveney,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,20,10,0,1,0,0,1,0,0,2,0,1
Barking and Dagenham,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,1,1,0,1,0,3
