place of work : 2011 census merged local authority district,Clackmannanshire,Dumfries and Galloway,East Ayrshire,East Lothian,East Renfrewshire,Eilean Siar,Falkirk,Fife,Highland,Inverclyde,Midlothian,Moray,North Ayrshire,Orkney Islands,Perth and Kinross,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,Aberdeen City,Aberdeenshire,Argyll and Bute,City of Edinburgh,Renfrewshire,West Dunbartonshire,West Lothian,Angus,Dundee City,North Lanarkshire,East Dunbartonshire,Glasgow City
Hartlepool,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
Middlesbrough,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0
Redcar and Cleveland,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
Stockton-on-Tees,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3,1,0,0,0,0,0,0,0
Darlington,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,2,0,0
County Durham,0,4,2,0,1,0,1,0,1,0,0,0,1,0,4,3,0,3,5,0,0,0,0,5,1,0,0,0,0,0,2,3
Northumberland,0,8,1,19,0,0,1,6,0,0,0,4,1,0,2,386,0,1,4,2,0,1,1,9,0,1,4,0,0,6,0,1
Gateshead,0,2,1,3,1,0,1,3,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1
Newcastle upon Tyne,0,2,0,12,1,0,0,7,2,0,1,0,1,0,5,16,0,0,2,2,0,1,0,20,4,1,3,1,1,5,0,5
North Tyneside,0,4,1,0,0,1,1,2,0,0,1,0,0,0,0,6,0,0,2,0,1,0,1,1,1,1,1,3,1,0,1,4
South Tyneside,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sunderland,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,3,0,1,1,0,0,0,0,3
Halton,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Warrington,1,0,2,1,0,0,0,2,0,0,0,0,0,1,0,3,0,0,2,0,0,0,1,2,0,0,2,1,0,0,0,4
Blackburn with Darwen,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1
Blackpool,0,1,0,0,0,1,0,3,1,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1
Cheshire East,1,4,0,1,0,0,0,1,0,1,0,1,0,0,2,2,0,1,2,1,0,0,0,4,3,0,2,0,0,4,0,2
Cheshire West and Chester,0,1,1,1,0,0,2,0,0,2,1,0,0,0,1,0,0,0,3,1,0,0,0,8,0,0,1,0,0,0,0,2
Allerdale,0,27,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Barrow-in-Furness,0,0,4,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,2,0,1,1,5,3,2,4,1,0,0,0,0,1
Carlisle,0,877,4,2,1,0,0,0,1,0,0,1,2,0,1,58,0,2,10,0,0,1,0,4,1,2,2,0,0,3,0,5
Copeland,0,12,1,2,1,0,4,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,4,1,0,0,1,0,2
Eden,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,3,0,0,0,0,3,1,0,0,1,0,0,0,0
South Lakeland,0,0,1,0,0,0,0,0,2,0,0,0,4,1,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
