place of work : 2011 census merged local authority district,S12000005,S12000006,S12000008,S12000010,S12000011,S12000013,S12000014,S12000015,S12000017,S12000018,S12000019,S12000020,S12000021,S12000023,S12000024,S12000026,S12000027,S12000028,S12000029,S12000030,S12000033,S12000034,S12000035,S12000036,S12000038,S12000039,S12000040,S12000041,S12000042,S12000044,S12000045,S12000046
E41000264,0,0,1,2,0,0,0,0,0,0,0,0,4,0,0,3,0,1,2,0,0,1,1,0,0,0,0,1,0,0,0,1
E41000265,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,2,0,0,0,1
E41000266,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,2,0,0,5,0,0,0,3
E41000267,0,0,0,0,0,0,0,1,1,0,0,1,4,0,0,0,0,3,1,0,3,1,0,1,0,0,0,0,0,1,0,3
E41000268,0,0,0,0,0,0,0,1,1,0,1,0,2,0,1,0,0,0,5,1,4,0,2,3,2,0,2,1,0,0,0,10
E41000269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,1,0,0,0,1,0,0,0,0
E41000270,0,0,0,0,0,0,0,1,4,0,0,1,6,0,2,0,0,1,3,0,3,0,5,1,1,0,1,1,0,2,0,2
E41000271,0,1,0,0,0,0,1,2,6,0,0,4,2,0,0,0,0,1,0,0,2,1,5,5,1,0,2,3,0,2,1,5
E41000010,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,5,4,0,0,0,0,0,0,0,0,3
E41000011,0,0,0,0,0,0,0,0,4,0,0,3,0,1,0,0,0,1,0,2,2,0,4,0,0,0,1,4,0,0,0,2
E41000012,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0,2,0,4,0,0,0,0,0,0,2,0,2
E41000013,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,17,0,1
E41000014,0,0,0,3,0,0,0,1,2,0,0,1,0,0,0,2,0,0,0,2,0,0,2,3,0,0,0,4,0,0,0,0
E41000189,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
E41000190,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,4
E41000191,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,4
E41000192,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1
E41000193,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
E41000194,0,0,0,0,0,0,0,2,0,0,6,2,1,0,0,0,0,1,0,2,0,3,3,1,1,0,0,1,0,0,0,0
E41000195,0,2,0,0,0,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
E41000272,0,0,0,0,0,0,1,0,0,0,0,3,2,0,2,0,0,0,0,0,1,0,1,3,2,3,0,1,0,3,0,0
E41000273,0,0,6,0,0,0,3,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,4,4,1,0,0,1,0,1,0,2
E41000274,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,2,7,1,1,0,3,0,0,6,0,4
E41000275,0,1,2,0,0,0,0,2,0,0,0,2,1,0,1,0,0,1,68,2,1,0,4,5,1,0,0,1,1,3,0,0
E41000288,0,0,0,0,0,0,0,4,8,0,0,0,0,0,4,0,0,0,1,0,1,0,3,5,0,0,1,1,1,0,0,2
E41000289,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,1,2,1,0,4,0,1,0,3
E41000290,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,1,0,0,1,0,2,1,1,2,0,0,1,5,0,2,0,0
E41000291,0,0,0,0,0,0,0,0,2,0,0,1,3,0,3,1,0,0,7,0,5,3,5,14,2,0,1,4,0,1,0,5
E41000292,0,0,1,0,0,0,2,0,2,0,0,2,4,0,2,0,0,0,1,0,0,0,8,4,2,0,0,2,0,1,0,1
E41000015,0,2,0,0,2,0,0,1,2,0,0,0,2,0,0,0,0,0,1,0,1,0,2,7,0,0,0,2,0,0,0,1
E41000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,2,3,0,0,0,1,1,0,0,2
E41000017,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000018,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,2,1,1,4,1,0,0,1,0,4,0,6
E41000071,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
E41000072,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
E41000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
E41000074,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
E41000076,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
E41000077,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,3,0,0,1,0,0
E41000078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,2
E41000161,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0
E41000162,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,2,0,0,0,0,0
E41000163,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
E41000164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000165,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000166,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,5,0,0,0,0
E41000167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
E41000168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
E41000169,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0
E41000170,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
E41000171,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
