place of work : 2011 census merged local authority district,S12000005,S12000006,S12000008,S12000010,S12000011,S12000013,S12000014,S12000015,S12000017,S12000018,S12000019,S12000020,S12000021,S12000023,S12000024,S12000026,S12000027,S12000028,S12000029,S12000030,S12000033,S12000034,S12000035,S12000036,S12000038,S12000039,S12000040,S12000041,S12000042,S12000044,S12000045,S12000046
E41000301,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,1,2
E41000302,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
E41000303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
E41000304,2,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1,0,1
E41000305,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
E41000306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
E41000307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
E41000308,0,0,1,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,1,3,0,1,0,0,3,0,0
E41000309,0,0,0,0,0,0,0,2,2,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0
E41000310,0,0,0,0,2,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
E41000311,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,1,2
E41000312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
E41000313,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2
E41000314,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E41000315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
E41000316,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
E41000317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000319,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,2,1,2,0,0,4,0,0,0,1,0,1,0,5
E41000320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
E41000321,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,1,1,0,2,2
E41000322,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000323,0,0,0,0,1,0,0,2,1,0,0,3,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,1,0,0
E41000324,0,3,1,3,6,0,2,6,4,1,1,1,0,0,3,1,0,1,4,1,2,4,1,10,2,3,3,4,2,5,3,4
E41000035,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,4,2,0,2
E41000036,0,0,0,1,0,0,0,1,1,0,0,1,0,0,2,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,1,0
E41000037,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
E41000038,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000040,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
E41000041,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
E41000042,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000043,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1
E41000044,1,4,3,1,0,0,0,5,1,1,4,0,5,0,1,1,0,1,3,0,1,1,3,1,0,1,0,1,0,1,0,4
E41000045,0,0,0,0,0,1,0,2,2,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,1,1
E41000046,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
E41000056,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000094,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
E41000095,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
E41000096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000097,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
E41000117,1,3,0,0,0,1,2,1,0,0,0,2,0,0,1,1,0,0,2,2,0,2,1,0,0,0,0,1,1,0,0,0
E41000118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
E41000119,0,0,1,0,0,0,0,3,0,0,0,0,2,1,0,1,0,1,0,0,1,1,1,3,0,0,0,0,0,0,1,2
E41000120,0,2,2,5,1,0,0,1,0,0,1,0,8,0,1,2,0,2,0,0,0,0,0,1,0,0,1,0,1,1,0,0
E41000121,0,1,0,1,0,1,1,4,4,0,0,0,2,0,0,1,0,2,1,0,0,0,2,0,0,1,0,0,0,1,0,0
E41000122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
E41000123,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
E41000124,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
E41000125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
E41000126,0,1,0,0,0,0,0,1,1,0,0,1,0,0,2,1,0,0,2,0,0,0,1,0,1,0,3,0,0,0,0,1
E41000137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
E41000138,4,0,1,0,2,0,4,1,1,2,0,0,2,0,1,0,0,1,2,2,0,1,4,0,2,4,1,1,0,2,0,3
E41000139,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000140,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
E41000141,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000142,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
E41000143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000146,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
E41000147,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
E41000148,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000203,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
E41000204,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
E41000205,0,1,0,0,1,0,1,2,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0
E41000206,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,2,0,0,0,0,0,0,1
E41000207,0,1,1,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,2,1,0,1,0,0,0,0,0,1,0,3,0,0
E41000228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000229,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000230,1,1,1,0,1,0,0,2,1,0,0,1,3,0,0,3,0,0,2,1,0,1,1,0,1,0,3,0,0,0,1,5
E41000231,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000232,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
E41000233,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
E41000234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000235,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
E41000236,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000237,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000238,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000245,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E41000246,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
E41000247,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0
E41000248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
E41000250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000022,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
E41000052,0,0,0,0,0,0,1,2,4,0,0,1,0,0,1,1,0,0,2,0,0,3,1,1,1,0,0,2,0,0,1,1
E41000053,2,1,1,2,0,1,3,6,2,0,0,1,1,0,0,2,0,0,4,0,1,3,3,1,0,1,1,2,3,1,0,3
E41000024,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
E41000025,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
E41000026,0,1,0,2,0,0,1,4,2,0,2,1,1,0,1,1,0,1,1,0,0,0,2,1,0,0,3,1,2,0,1,2
E41000027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
E41000028,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
E41000029,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
E41000030,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
E41000079,1,0,2,1,0,0,0,3,0,1,1,0,0,0,1,1,0,0,0,0,2,1,1,1,0,0,0,0,1,1,0,3
E41000080,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
E41000081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000082,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
E41000083,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0
E41000084,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000086,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
E41000087,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
E41000088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000089,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,2,0,0
E41000090,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,2,1,0,0,0,1
E41000091,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
E41000092,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
E41000110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0
E41000111,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000113,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
E41000114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
E41000115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
E41000208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
E41000209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E41000210,1,1,0,0,1,0,1,2,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
E41000211,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
E41000212,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S12000005,1128,0,0,0,2,0,71,54,0,0,0,2,0,0,18,0,0,1,8,105,0,0,0,6,2,0,5,0,1,16,4,8
S12000006,0,6156,43,1,6,0,1,2,3,1,0,0,11,0,1,13,0,25,17,2,0,0,3,2,1,2,1,0,0,8,0,18
S12000008,0,33,3174,1,28,0,3,1,1,2,1,0,449,0,0,2,0,327,32,2,0,0,1,0,22,1,1,1,0,10,5,73
S12000010,3,1,0,2273,0,0,24,34,2,4,170,2,1,1,4,78,0,1,24,7,1,0,0,885,5,5,56,0,0,19,3,9
S12000011,1,0,45,0,1029,0,0,2,1,7,1,0,21,0,0,0,0,16,146,3,0,0,1,1,112,7,0,1,0,16,18,455
S12000013,0,1,0,0,0,1065,0,2,5,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2
S12000014,192,3,3,5,4,0,5049,83,3,7,2,0,4,0,9,4,0,3,31,278,2,6,1,54,7,5,203,1,2,188,38,56
S12000015,71,5,8,20,5,0,109,13337,8,2,16,1,5,1,183,3,0,6,23,21,9,15,11,238,5,9,68,33,182,29,8,31
S12000017,2,5,2,5,3,12,5,45,10167,2,2,134,2,10,17,2,2,2,9,3,20,13,22,16,7,2,8,3,5,14,2,11
S12000018,0,2,4,0,25,4,3,5,0,2455,1,0,152,0,1,0,0,7,18,3,0,0,63,0,233,29,2,0,0,11,17,104
S12000019,4,3,12,198,2,0,19,29,0,1,1793,0,6,0,2,64,0,7,17,5,1,2,2,492,3,5,50,0,3,12,3,13
S12000020,0,3,3,3,0,2,4,11,108,0,3,4087,6,0,5,1,0,3,4,0,11,83,19,2,7,1,2,7,5,4,2,4
S12000021,0,12,305,1,18,2,0,3,0,55,0,0,3162,0,0,1,0,216,15,3,0,1,4,2,63,4,1,0,0,6,7,53
S12000023,0,0,0,1,1,1,0,1,5,0,0,1,0,1119,0,0,1,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0
S12000024,38,4,6,5,2,1,27,345,7,1,3,2,1,2,5969,3,0,2,10,80,6,14,8,17,2,3,10,112,264,9,4,24
S12000026,0,11,2,30,2,0,3,9,2,0,52,1,2,0,0,3783,0,0,34,1,1,0,0,67,1,0,10,0,0,5,1,3
S12000027,0,0,0,0,0,0,1,0,2,1,0,1,0,5,0,0,1473,3,2,0,9,5,0,0,0,0,0,2,0,1,1,2
S12000028,1,44,1065,2,40,0,7,3,2,17,1,0,487,0,3,2,0,3632,45,0,2,1,3,5,61,12,1,0,1,43,18,150
S12000029,6,12,99,10,194,0,27,12,2,16,3,2,42,0,6,10,0,36,8295,10,2,1,8,21,128,55,54,2,0,1820,90,1023
S12000030,745,7,8,19,16,0,850,96,8,4,9,4,1,0,82,7,0,5,58,3789,1,7,8,89,27,59,92,7,16,215,78,140
S12000033,4,2,8,6,7,8,19,53,51,7,5,178,10,17,21,11,18,7,21,8,16052,5259,8,41,10,3,10,214,41,20,8,25
S12000034,1,1,1,0,0,1,3,6,14,0,0,152,1,1,8,1,7,0,3,2,967,8642,2,2,1,0,1,176,9,6,0,6
S12000035,12,3,8,2,6,5,7,16,33,40,4,17,10,1,4,1,2,4,16,8,4,8,3185,7,22,291,5,4,8,12,16,52
S12000036,52,38,13,1900,32,1,593,1260,34,11,2106,10,12,7,113,306,8,12,170,101,13,20,9,23011,38,20,2065,14,33,268,44,245
S12000038,4,4,116,2,433,1,16,10,1,408,5,2,423,0,9,1,0,115,229,15,0,0,50,6,5156,221,6,0,2,200,164,1493
S12000039,2,1,8,2,23,0,5,2,3,21,0,0,16,0,0,0,0,7,33,16,0,0,136,4,81,2215,6,0,0,38,118,526
S12000040,15,3,3,32,8,1,333,129,0,1,53,0,2,0,8,11,0,2,158,18,0,1,3,416,11,3,6196,1,6,395,17,68
S12000041,5,2,4,1,1,0,2,29,3,1,2,0,5,0,42,2,0,0,5,8,19,108,1,4,8,4,3,3379,325,1,0,9
S12000042,8,2,0,1,8,2,21,668,5,1,0,3,1,3,510,3,1,2,5,24,11,19,3,33,3,5,18,1400,7864,4,9,21
S12000044,9,4,28,6,43,0,260,22,4,8,7,0,18,0,7,3,0,10,1373,35,0,1,2,34,50,28,122,4,1,9349,257,699
S12000045,3,4,6,0,23,0,26,1,3,7,1,0,9,0,3,0,0,6,51,30,1,0,4,2,35,83,8,0,1,269,1531,632
S12000046,57,47,781,18,2622,15,533,80,49,767,19,15,879,3,49,14,1,425,4595,231,6,15,307,173,2969,1563,241,8,20,4374,2900,26371
W40000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W40000002,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
W40000003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W40000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W40000005,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
W40000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
W40000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W40000008,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2
W40000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W40000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W40000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W40000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
W40000013,0,0,0,0,0,0,1,1,0,0,1,0,2,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,2,0,0
W40000014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1
W40000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
W40000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
W40000017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W40000018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W40000019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W40000020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W40000021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
W40000022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
