place of work : 2011 census merged local authority district,Clackmannanshire,Dumfries and Galloway,East Ayrshire,East Lothian,East Renfrewshire,Eilean Siar,Falkirk,Fife,Highland,Inverclyde,Midlothian,Moray,North Ayrshire,Orkney Islands,Perth and Kinross,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,Aberdeen City,Aberdeenshire,Argyll and Bute,City of Edinburgh,Renfrewshire,West Dunbartonshire,West Lothian,Angus,Dundee City,North Lanarkshire,East Dunbartonshire,Glasgow City
Hartlepool,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
Middlesbrough,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Redcar and Cleveland,2,1,0,1,0,2,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Stockton-on-Tees,0,0,0,0,0,0,1,2,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Darlington,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,2,0,0
County Durham,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,1,1,0,0,2,4,0,0,0,1,0,4,0,3
Northumberland,0,3,2,4,0,0,0,5,1,0,0,1,2,0,1,354,0,0,2,2,0,1,0,4,0,0,0,1,0,1,0,1
Gateshead,1,1,0,0,0,0,0,3,0,0,0,0,1,0,2,4,0,0,1,0,1,1,1,1,1,0,0,0,0,2,1,3
Newcastle upon Tyne,0,6,0,6,2,0,4,3,1,1,0,0,1,0,4,18,0,1,4,4,0,0,1,6,0,0,1,1,1,2,3,1
North Tyneside,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,5,0,1,0,0,0,0,0,2,0,0,1,0,0,2,1,0
South Tyneside,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,3,0,0
Sunderland,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,8,0,0,2,0,0,1,0,4,0,0,0,2,1,2,0,0
Halton,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
Warrington,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,0,0,1,0,0,1,0,3
Blackburn with Darwen,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Blackpool,0,1,0,0,0,0,1,2,0,0,0,0,2,0,1,1,0,0,0,0,2,0,0,1,0,0,1,2,1,2,1,1
Cheshire East,0,3,1,1,1,0,1,2,1,0,4,0,0,0,1,1,0,1,1,0,0,0,0,4,0,1,1,0,1,0,0,1
Cheshire West and Chester,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,3,2,2,0,0,0,1,0,0
Allerdale,0,14,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0
Barrow-in-Furness,0,2,0,0,0,0,0,5,0,0,0,0,1,0,1,2,0,1,2,0,1,0,6,1,2,4,1,0,0,0,1,2
Carlisle,0,695,2,0,2,0,0,1,0,2,2,0,1,0,0,44,0,1,6,0,0,0,1,3,0,0,0,0,0,1,0,1
Copeland,0,11,1,0,1,0,1,6,4,1,0,0,1,0,1,0,0,1,3,0,0,0,1,4,1,1,3,0,0,1,0,3
Eden,0,36,0,0,1,0,1,2,2,0,0,0,0,0,0,4,0,1,1,0,0,0,0,3,0,0,0,0,1,0,0,0
South Lakeland,0,1,0,1,0,0,0,3,2,0,0,0,2,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0
Burnley,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chorley,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Fylde,0,1,2,0,0,0,0,6,0,3,1,0,0,0,0,1,0,1,2,0,0,1,1,5,0,0,0,1,2,0,0,1
Hyndburn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lancaster,0,3,1,1,0,0,0,1,1,0,1,0,3,0,0,0,0,2,1,0,0,0,2,3,0,0,0,0,0,1,1,2
Pendle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
