,st_areasha
124,2222390.84765
125,2537591.313317
126,1485449.9750075
127,1763469.113604
128,1739916.8016885
129,5960613.058406
130,1918364.8819085
131,1151392.5890665
132,4563047.413957
133,1860024.6140075
134,2098443.640268
135,1531928.2593925
136,1885840.0865945
137,937306.0404715
138,1782951.001513
139,1990499.200924
140,11279787.348409
141,1796987.3901625
142,2247697.3180845
143,2831109.1709825
144,1878485.7578145
145,3065413.4817755
146,2112531.256713
147,2572475.32541
148,2240525.4875015
149,2084706.2149045
150,1819503.2099435
151,3847341.678761
152,2439141.259184
153,2161982.48438
154,5880879.2741295
155,8468894.603868
156,1726225.5608125
157,12752835.742863
158,11300075.9724835
159,5658134.3975785
160,3016530.472791
161,2080806.3341795
162,682309.7926005
163,1125004.237778
164,776522.9624255
165,516325.5431005
166,667377.686049
167,779292.4927655
168,541684.496175
169,691562.533033
170,397173.8962225
171,525260.367471
172,560632.5268925
173,383845.0581295
174,485620.805226
175,539778.6051275
176,801830.6336105
177,769139.838886
178,666096.2968665
179,472795.128368
180,1001597.0571775
181,964297.92623
182,507415.376965
183,294951.2563445
184,373734.2175595
185,646202.1056575
186,432517.6047875
187,1086528.780273
188,1398321.3463905
189,1933475.2456385
190,1216502.825583
191,996239.5359235
192,888844.5024945
193,865495.7518075
194,1249156.295301
195,860605.7979345
196,735558.895491
197,774426.641472
198,1084932.7214135
199,1466520.079997
200,1239435.7204765
201,874765.8746215
202,999434.171702
203,774806.0453955
204,1672979.138628
205,1244012.4786875
206,1030492.144636
207,1039402.529168
208,981957.7720255
209,2187645.7120105
210,1428486.8591795
211,1144344.762444
212,5724390.9329365
213,1492228.378665
214,2813420.8289925
215,1852631.1120855
216,960526.3051205
217,1281412.5916475
218,1636313.9769245
219,3274165.6252395
220,4598210.6312555
221,3147240.6937625
222,1321054.560756
223,2606185.0294635
224,3358815.36985
225,4357155.9553265
226,1596769.965478
227,3118274.3398015
228,5381302.0539905
229,3579098.513213
230,4948438.775211
231,1519418.648527
232,2358223.5976555
233,1735721.236721
234,1307704.6099955
235,886558.945635
236,2845199.9217445
